Frequency - Fgen,Phase - Fgen,Phase - R
39399.6,0.0283087,0.275842
39399.5,0.0212937,0.268725
39399.5,0.0286598,0.275885
39449.6,0.0257107,0.273573
39449.7,0.0213459,0.269367
39449.7,0.0229169,0.271015
39449.7,0.0212084,0.26903
39449.7,0.0204501,0.268466
39449.6,0.0295607,0.277358
39499.5,0.0212831,0.26916
39499.5,0.0220321,0.270215
39499.6,0.0225955,0.271027
39499.6,0.0259302,0.274227
39499.6,0.029512,0.277482
39499.6,0.0286121,0.276988
39499.5,0.0284435,0.276686
39549.5,0.0227634,0.271416
39549.5,0.0265545,0.274842
39549.4,0.0245296,0.273084
39549.4,0.0334614,0.281742
39549.4,0.0272834,0.275493
39549.5,0.0277884,0.27634
39549.5,0.0265305,0.275012
39599.6,0.0224031,0.271283
39599.5,0.0317449,0.280512
39599.6,0.0232725,0.272136
39599.6,0.0301,0.279139
39599.6,0.0278486,0.276625
39599.6,0.0286159,0.277448
39649.4,0.0264683,0.275526
39649.5,0.030024,0.279271
39649.4,0.0263332,0.275422
39649.5,0.026468,0.27556
39649.4,0.0260218,0.274958
39649.4,0.022998,0.272084
39649.5,0.0310412,0.280064
39699.6,0.0223373,0.271769
39699.7,0.0243391,0.2742
39699.6,0.0263212,0.275745
39699.6,0.0274455,0.276768
39699.5,0.0324773,0.281467
39699.7,0.0204245,0.270188
39749.4,0.0288808,0.278494
39749.5,0.0222732,0.27189
39749.5,0.0312551,0.280933
39749.5,0.0320355,0.28206
39749.5,0.0214909,0.271065
39749.5,0.0301753,0.279892
39749.6,0.0278998,0.277715
39799.5,0.0235787,0.273425
39799.6,0.0207328,0.270551
39799.5,0.0293645,0.279019
39799.5,0.027242,0.276715
39799.7,0.0193117,0.269355
39799.5,0.0211609,0.27095
39799.5,0.0300582,0.280078
39849.6,0.023466,0.274007
39849.5,0.0260455,0.276286
39849.5,0.0242217,0.274714
39849.4,0.0223392,0.27275
39849.6,0.0291522,0.279817
39849.4,0.0268269,0.276906
39899.5,0.0297605,0.280403
