Time - Gen,Voltage - Gen,Voltage - R,Voltage - L,Voltage - C
"0.0179","2.51742","-0.000988272","0.00545345","2.52096"
"0.018","2.51935","-0.000666186","0.00319885","2.52031"
"0.0181","2.51774","-0.00131036","0.00513136","2.52128"
"0.0182","2.51903","-0.0003441","0.00287676","2.52064"
"0.0183","2.51709","-0.000988272","0.00480928","2.52031"
"0.0184","2.51935","-0.000666186","0.00384302","2.52064"
"0.0185","2.51709","-0.00131036","0.00513136","2.52096"
"0.0186","2.51742","-0.0003441","0.00319885","2.51999"
"0.0187","2.51645","-0.00163244","0.00352093","2.52096"
"0.0188","2.51613","-0.0003441","0.0041651","2.52096"
"0.0189","2.51742","-0.000666186","0.00384302","2.52064"
"0.019","2.51581","-0.000666186","0.00545345","2.52096"
"0.0191","2.51452","-0.00163244","0.00545345","2.52064"
"0.0192","2.5187","-0.000988272","0.00255467","2.52064"
"0.0193","2.51645","-0.000988272","0.00577553","2.52031"
"0.0194","2.51645","-0.000666186","0.00480928","2.51999"
"0.0195","2.51774","-0.00131036","0.00513136","2.52031"
"0.0196","2.51838","-0.000666186","0.00738597","2.51999"
"0.0197","2.51742","-0.00163244","0.00577553","2.51935"
"0.0198","2.51774","-0.000666186","0.00448719","2.52128"
"0.0199","2.51742","-0.00131036","0.00448719","2.52031"
"0.02","2.51742","-0.000666186","0.00480928","2.52064"
"0.0201","2.51806","-0.000988272","0.00287676","2.52096"
"0.0202","2.51774","-0.000988272","0.00448719","2.52031"
"0.0203","2.51742","-0.000988272","0.00319885","2.52031"
"0.0204","2.51709","-0.000666186","0.00287676","2.52128"
"0.0205","2.51806","-0.00163244","0.0041651","2.52064"
"0.0206","2.51903","-0.0003441","0.00319885","2.52031"
"0.0207","2.51742","-0.00131036","0.00674179","2.52031"
"0.0208","2.51581","-0.0003441","0.00384302","2.52031"
"0.0209","2.51742","-0.000988272","0.00513136","2.51999"
"0.021","2.51774","-2.20E-05","0.00480928","2.52064"
"0.0211","2.51774","-0.00131036","0.00480928","2.51999"
"0.0212","2.51935","-0.000666186","0.00448719","2.52031"
"0.0213","2.51613","-0.00131036","0.00577553","2.52128"
"0.0214","2.51806","-0.000988272","0.00287676","2.52064"
"0.0215","2.51903","-0.00131036","0.00480928","2.52064"
"0.0216","2.51806","-0.000666186","0.0041651","2.52064"
"0.0217","2.52064","-0.00163244","0.00577553","2.52031"
"0.0218","2.51709","-0.0003441","0.00352093","2.52064"
"0.0219","2.51613","-0.00163244","0.00609762","2.52031"
"0.022","2.51709","-0.00131036","0.00641971","2.52064"
"0.0221","2.51774","-0.00163244","0.00609762","2.52064"
"0.0222","2.51709","-2.20E-05","0.00577553","2.52128"
"0.0223","2.51645","-0.000988272","0.00319885","2.51999"
"0.0224","2.51742","-0.000988272","0.00287676","2.51999"
"0.0225","2.51581","-0.00131036","0.00480928","2.51967"
"0.0226","2.51774","-0.000666186","0.0041651","2.51999"
"0.0227","2.51742","-0.00163244","0.00480928","2.52031"
"0.0228","2.51806","-0.0003441","0.00513136","2.51999"
"0.0229","2.51838","-0.00131036","0.00448719","2.52064"
"0.023","2.51613","-0.0003441","0.00352093","2.52128"
"0.0231","2.51645","-0.000666186","0.0041651","2.52128"
"0.0232","2.51613","-0.0003441","0.00545345","2.52096"
"0.0233","2.51967","-0.00163244","0.00674179","2.51999"
