Time - Gen,Voltage - Gen,Time - R,Voltage - R,Time - L,Voltage - L,Time - C,Voltage - C
"0,0134","2,52031","0,0134","-0,000988272","0,0134","0,00448719","0,0134","2,52096"
"0,0135","2,51838","0,0135","-0,00131036","0,0135","0,00545345","0,0135","2,52031"
"0,0136","2,51774","0,0136","-0,000666186","0,0136","0,00480928","0,0136","2,52031"
"0,0137","2,51613","0,0137","-0,000988272","0,0137","0,00448719","0,0137","2,52096"
"0,0138","2,51742","0,0138","-0,0003441","0,0138","0,00384302","0,0138","2,52064"
"0,0139","2,51613","0,0139","-0,000988272","0,0139","0,00480928","0,0139","2,52064"
"0,014","2,51806","0,014","-0,00131036","0,014","0,00319885","0,014","2,52096"
"0,0141","2,51806","0,0141","-0,00131036","0,0141","0,00287676","0,0141","2,51999"
"0,0142","2,51967","0,0142","-0,0003441","0,0142","0,00319885","0,0142","2,52128"
"0,0143","2,51581","0,0143","-0,00131036","0,0143","0,00448719","0,0143","2,52128"
"0,0144","2,51774","0,0144","-0,00163244","0,0144","0,00384302","0,0144","2,52064"
"0,0145","2,51935","0,0145","-0,000988272","0,0145","0,00352093","0,0145","2,51999"
"0,0146","2,51709","0,0146","-0,000988272","0,0146","0,00448719","0,0146","2,52096"
"0,0147","2,51709","0,0147","-0,00163244","0,0147","0,00352093","0,0147","2,52128"
"0,0148","2,51806","0,0148","-0,000988272","0,0148","0,00448719","0,0148","2,52096"
"0,0149","2,51838","0,0149","-0,00131036","0,0149","0,00384302","0,0149","2,52128"
"0,015","2,51838","0,015","-0,0003441","0,015","0,00352093","0,015","2,51999"
"0,0151","2,51742","0,0151","-0,000988272","0,0151","0,00448719","0,0151","2,52031"
"0,0152","2,51581","0,0152","-0,00131036","0,0152","0,00577553","0,0152","2,51999"
"0,0153","2,51774","0,0153","-0,00131036","0,0153","0,0041651","0,0153","2,52064"
"0,0154","2,51838","0,0154","-0,000666186","0,0154","0,00480928","0,0154","2,52096"
"0,0155","2,51806","0,0155","-0,000988272","0,0155","0,00609762","0,0155","2,52064"
"0,0156","2,51709","0,0156","-0,00131036","0,0156","0,00158842","0,0156","2,52064"
"0,0157","2,51677","0,0157","-0,00131036","0,0157","0,00609762","0,0157","2,52096"
"0,0158","2,51613","0,0158","-2,20E-05","0,0158","0,00384302","0,0158","2,52096"
"0,0159","2,51613","0,0159","-0,00131036","0,0159","0,0041651","0,0159","2,52096"
"0,016","2,51838","0,016","-0,000666186","0,016","0,00319885","0,016","2,52128"
"0,0161","2,51838","0,0161","-0,000988272","0,0161","0,00352093","0,0161","2,52031"
"0,0162","2,51838","0,0162","-0,000666186","0,0162","0,0041651","0,0162","2,52128"
"0,0163","2,51709","0,0163","-0,00131036","0,0163","0,0041651","0,0163","2,51935"
"0,0164","2,51742","0,0164","-0,000988272","0,0164","0,00384302","0,0164","2,52096"
"0,0165","2,51709","0,0165","-0,000988272","0,0165","0,00513136","0,0165","2,52031"
"0,0166","2,51677","0,0166","-0,000988272","0,0166","0,00448719","0,0166","2,52064"
"0,0167","2,51742","0,0167","-0,00163244","0,0167","0,00448719","0,0167","2,52096"
"0,0168","2,51806","0,0168","-0,000666186","0,0168","0,00223259","0,0168","2,51999"
"0,0169","2,51645","0,0169","-0,000988272","0,0169","0,00513136","0,0169","2,52064"
"0,017","2,51742","0,017","-0,0003441","0,017","0,00480928","0,017","2,52031"
"0,0171","2,51967","0,0171","-0,000988272","0,0171","0,00577553","0,0171","2,52031"
"0,0172","2,51774","0,0172","-0,0003441","0,0172","0,00513136","0,0172","2,52096"
"0,0173","2,51774","0,0173","-0,000988272","0,0173","0,00126633","0,0173","2,52064"
"0,0174","2,51677","0,0174","-0,000666186","0,0174","0,00384302","0,0174","2,52064"
"0,0175","2,51613","0,0175","-0,00131036","0,0175","0,00319885","0,0175","2,52031"
"0,0176","2,51709","0,0176","-0,000666186","0,0176","0,00480928","0,0176","2,52096"
"0,0177","2,5187","0,0177","-0,00131036","0,0177","0,00513136","0,0177","2,52064"
"0,0178","2,51709","0,0178","-0,000988272","0,0178","0,00448719","0,0178","2,51999"
"0,0179","2,51742","0,0179","-0,000988272","0,0179","0,00545345","0,0179","2,52096"
