Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
18999.6,2.43833,1.14016,6.21825,5.95286
18999.7,2.43834,1.14019,6.21848,5.95297
18999.7,2.43817,1.14017,6.21835,5.95287
18999.7,2.43847,1.14023,6.21848,5.95306
18999.7,2.43825,1.14021,6.21844,5.95291
18999.7,2.43849,1.14029,6.21852,5.95281
18999.7,2.43826,1.14017,6.21822,5.95253
18999.7,2.43819,1.14015,6.21828,5.95236
18999.7,2.43812,1.14013,6.21831,5.95251
18999.7,2.43802,1.14014,6.21779,5.95204
18999.7,2.43837,1.1402,6.21861,5.9526
18999.7,2.43811,1.14015,6.21793,5.95228
18999.7,2.4384,1.14017,6.21855,5.95255
18999.7,2.4385,1.14019,6.21828,5.95246
18999.6,2.43813,1.14008,6.21815,5.95221
18999.6,2.43824,1.14009,6.21805,5.95203
18999.7,2.43866,1.14017,6.21836,5.9522
18999.7,2.43825,1.14016,6.21827,5.95217
18999.7,2.43823,1.14009,6.21775,5.95182
18999.7,2.43821,1.14019,6.21844,5.95235
18999.7,2.43818,1.14014,6.2179,5.95195
18999.7,2.43833,1.14006,6.21808,5.95187
18999.7,2.43827,1.14017,6.21801,5.95212
18999.7,2.43824,1.14,6.21766,5.95167
18999.7,2.43848,1.14019,6.21829,5.95217
18999.7,2.43847,1.14016,6.21826,5.95213
18999.7,2.43821,1.14007,6.21803,5.95182
18999.6,2.4385,1.14022,6.21841,5.95226
18999.6,2.4382,1.14006,6.21779,5.95166
18999.6,2.43849,1.14021,6.21828,5.95208
18999.7,2.43804,1.14004,6.21781,5.95153
18999.7,2.43834,1.14014,6.21823,5.95204
18999.7,2.43849,1.14016,6.21817,5.95188
18999.7,2.43832,1.14015,6.21801,5.95186
18999.7,2.43832,1.14018,6.21827,5.95199
18999.7,2.43872,1.14019,6.21823,5.95201
18999.7,2.43828,1.14007,6.21796,5.95159
18999.7,2.4384,1.1401,6.21852,5.95188
18999.7,2.4384,1.14009,6.21805,5.95153
18999.6,2.43836,1.14004,6.21778,5.95144
18999.6,2.43819,1.14013,6.21789,5.95139
18999.7,2.43822,1.14003,6.21782,5.95106
18999.7,2.43845,1.14008,6.21805,5.9513
18999.7,2.43843,1.14006,6.21777,5.95113
18999.7,2.43855,1.14015,6.21846,5.95163
18999.7,2.43812,1.14,6.21739,5.95072
18999.7,2.43855,1.14018,6.21796,5.95111
18999.7,2.43808,1.14001,6.21774,5.95083
18999.8,2.4382,1.14006,6.21787,5.95081
18999.6,2.43828,1.14001,6.21747,5.95059
18999.6,2.4384,1.14,6.21792,5.95078
18999.7,2.43864,1.14018,6.21841,5.95117
18999.6,2.43852,1.14007,6.21784,5.95052
18999.7,2.43862,1.14011,6.21823,5.9509
18999.7,2.4383,1.14004,6.21771,5.95048
18999.7,2.43843,1.14002,6.21772,5.9503
18999.7,2.43855,1.1401,6.21765,5.95012
18999.6,2.43819,1.13999,6.21745,5.94989
18999.7,2.43841,1.14005,6.21757,5.95003
18999.7,2.4386,1.14007,6.21806,5.95048
18999.6,2.43821,1.14007,6.21768,5.95025
18999.6,2.4388,1.14013,6.2181,5.95073
18999.7,2.43826,1.14007,6.21789,5.95032
18999.7,2.43833,1.14002,6.21765,5.95002
18999.7,2.43837,1.13996,6.21746,5.94963
18999.7,2.43832,1.14002,6.21763,5.94974
18999.7,2.43842,1.14005,6.21751,5.9498
18999.7,2.43807,1.13998,6.21735,5.94957
18999.6,2.43842,1.13992,6.21714,5.94954
18999.7,2.43841,1.14003,6.21735,5.94942
18999.7,2.43812,1.14005,6.21713,5.94952
18999.7,2.43808,1.1399,6.2169,5.9492
18999.7,2.43812,1.13998,6.21719,5.94954
18999.7,2.43811,1.13987,6.21699,5.94928
