Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
19499.7,0.00106673,-0.11837,1.53534,-1.2632
19499.8,-0.00356454,-0.12282,1.53102,-1.2675
19499.8,-0.00259323,-0.122001,1.53175,-1.26676
19499.8,0.00164923,-0.117643,1.53602,-1.26252
19499.8,-0.002728,-0.122313,1.53148,-1.26707
19499.8,-0.005186,-0.124496,1.5293,-1.26926
19499.8,0.00134014,-0.118037,1.53572,-1.26278
19499.8,-0.00538166,-0.124981,1.52893,-1.2696
19499.8,-0.00517896,-0.124623,1.52905,-1.26946
19499.8,-0.000582525,-0.119723,1.53385,-1.26469
19499.8,-0.00547088,-0.125009,1.52883,-1.2697
19499.8,-0.00188909,-0.121298,1.53239,-1.26611
19499.8,-0.00531028,-0.124718,1.52904,-1.2695
19499.8,2.41E-05,-0.119177,1.53451,-1.26402
19499.8,-0.00391068,-0.123231,1.5304,-1.2681
19499.8,-0.00452014,-0.12367,1.53001,-1.26854
19499.8,-0.00399565,-0.123371,1.53035,-1.26817
19499.8,-0.00491177,-0.124253,1.52931,-1.26919
19499.8,-0.00324142,-0.122661,1.53112,-1.26746
19499.7,0.00152065,-0.118221,1.53557,-1.2629
19499.8,-0.00173085,-0.121091,1.53248,-1.26594
19499.8,-0.000875143,-0.120176,1.5334,-1.26509
19499.8,0.000283963,-0.119407,1.53454,-1.26402
19499.8,-0.00491314,-0.124544,1.52916,-1.26934
19499.7,-0.00326804,-0.12293,1.53076,-1.26772
19499.8,-0.00380078,-0.123246,1.53049,-1.26798
19499.7,-0.00259216,-0.122158,1.53163,-1.26693
19499.7,0.00011878,-0.119602,1.53418,-1.26434
19499.8,-0.0014251,-0.120849,1.53294,-1.26563
19499.8,-0.00155765,-0.12101,1.5327,-1.26575
19499.8,-0.00297537,-0.122509,1.53128,-1.26723
19499.7,-0.00263374,-0.122437,1.53132,-1.2672
19499.8,-0.0046937,-0.124021,1.5297,-1.26883
19499.8,-0.00142801,-0.120902,1.5328,-1.26564
19499.8,-8.24E-05,-0.11946,1.53433,-1.26421
19499.8,-0.00444851,-0.12384,1.52973,-1.26871
19499.8,-0.000520038,-0.119844,1.53384,-1.26466
19499.8,-0.00316682,-0.122695,1.53105,-1.26744
19499.8,-0.00151191,-0.121012,1.53283,-1.2657
19499.8,-0.00165724,-0.121,1.53262,-1.26581
19499.8,-0.00138471,-0.120747,1.53285,-1.26563
19499.7,-0.00554269,-0.125174,1.5285,-1.26999
19499.8,-0.0027503,-0.122025,1.53162,-1.26684
19499.8,-0.00420294,-0.123616,1.5301,-1.26839
19499.8,-0.00417751,-0.123787,1.52991,-1.26854
19499.8,-0.000344241,-0.120101,1.53383,-1.26471
19499.8,2.36E-05,-0.119572,1.53419,-1.26434
19499.8,0.000422022,-0.119198,1.53449,-1.26401
19499.8,-0.00192797,-0.12145,1.53227,-1.26621
19499.8,0.000834825,-0.118622,1.53509,-1.26341
19499.8,-0.00189575,-0.121336,1.53238,-1.26613
19499.7,-0.000311557,-0.120088,1.53366,-1.2648
19499.8,-0.000844879,-0.120221,1.5335,-1.26502
19499.7,-2.74E-05,-0.119597,1.53409,-1.26441
19499.8,0.000876087,-0.118686,1.53506,-1.26339
19499.8,-0.00348991,-0.122939,1.53078,-1.26777
19499.7,-0.00239366,-0.122002,1.53155,-1.26691
19499.8,-0.000151341,-0.119666,1.53414,-1.26438
19499.7,-0.0016194,-0.121445,1.53239,-1.26616
19499.8,-0.00252823,-0.122068,1.5315,-1.26693
19499.7,-0.000337959,-0.120138,1.53353,-1.26494
19499.7,-0.000700019,-0.120537,1.53318,-1.26528
19499.8,-0.00341464,-0.123127,1.5308,-1.26767
19499.8,-0.00212296,-0.121705,1.53208,-1.26649
19499.8,-0.00243553,-0.121984,1.53175,-1.2667
19499.8,-0.00139827,-0.120859,1.53291,-1.26555
19499.8,0.000346676,-0.119245,1.53444,-1.26402
19499.8,-0.00504022,-0.124538,1.52917,-1.26932
19499.8,-0.00355142,-0.1232,1.53058,-1.26794
19499.8,-0.00103951,-0.120645,1.53301,-1.26543
19499.8,-0.000505556,-0.120087,1.53354,-1.26489
19499.8,-0.000663916,-0.120413,1.53339,-1.26506
19499.7,0.00167057,-0.117903,1.53562,-1.26281
19499.8,-0.00216924,-0.121686,1.53196,-1.26653
19499.8,0.000468897,-0.119156,1.53453,-1.26392
19499.7,-0.00168808,-0.121313,1.53234,-1.26613
19499.7,-0.000252193,-0.120142,1.53354,-1.26488
19499.8,-0.00523266,-0.124819,1.52888,-1.26956
19499.8,0.000714325,-0.118512,1.53506,-1.2634
19499.7,-0.0010407,-0.120916,1.53292,-1.2656
19499.7,-0.00108752,-0.120738,1.53296,-1.2655
19499.7,-0.00210946,-0.121856,1.53183,-1.26662
19499.8,-0.00423631,-0.123817,1.52989,-1.26859
19499.7,0.000705514,-0.119126,1.53471,-1.26375
19499.8,-0.000538826,-0.120032,1.53365,-1.26482
19499.7,-0.0035577,-0.123318,1.53041,-1.26801
19499.8,-0.0049213,-0.124366,1.52924,-1.2692
19499.8,-0.00192699,-0.121518,1.53224,-1.26628
19499.8,-0.003204,-0.122478,1.53122,-1.2673
19499.8,-0.00257382,-0.12215,1.5316,-1.26691
19499.8,-0.00456527,-0.124116,1.52961,-1.2689
19499.7,-0.00411591,-0.123775,1.52999,-1.26852
19499.7,-0.00210545,-0.121689,1.53204,-1.26644
19499.8,-0.00289493,-0.12246,1.53131,-1.26719
19499.7,-0.000805143,-0.120765,1.53308,-1.26537
19499.8,-0.00332591,-0.122749,1.53092,-1.26755
19499.8,-0.00296745,-0.122437,1.53129,-1.26723
