Frequency - Fgen,Phase - Fgen,Phase - R
35999.8,0.025979,0.252394
35999.7,0.0262699,0.252456
35999.6,0.023184,0.249044
35999.6,0.0230701,0.24941
35999.7,0.0191921,0.245379
35999.6,0.0227539,0.248987
35999.7,0.0253305,0.251481
35999.7,0.0274564,0.253741
35999.7,0.0275903,0.253878
35999.7,0.0213951,0.247535
35999.6,0.025492,0.251331
35999.7,0.0251208,0.251327
35999.7,0.0214094,0.247581
35999.7,0.0223644,0.248461
35999.7,0.0233162,0.249262
35999.7,0.0200813,0.246144
35999.7,0.0202233,0.246511
35999.8,0.0228916,0.249373
35999.7,0.0210659,0.247157
35999.7,0.0215794,0.247802
35999.7,0.0173524,0.243697
35999.7,0.0245205,0.250636
35999.7,0.0187242,0.244835
35999.6,0.0227282,0.248764
35999.7,0.0168908,0.242947
35999.7,0.0267445,0.253033
35999.7,0.0231047,0.24907
35999.8,0.0169591,0.243467
35999.7,0.0278114,0.253879
35999.7,0.0215339,0.247883
35999.6,0.0270348,0.25286
35999.7,0.020084,0.246379
35999.7,0.0171903,0.2433
35999.8,0.01495,0.241265
35999.6,0.0202249,0.246389
35999.6,0.0199432,0.246122
35999.7,0.0267133,0.252861
35999.6,0.0268042,0.252888
35999.6,0.0198331,0.245883
35999.7,0.0224316,0.248715
35999.7,0.0188452,0.245206
35999.6,0.0258008,0.251804
35999.6,0.028704,0.255015
35999.7,0.0258025,0.252043
35999.6,0.0240633,0.250127
35999.7,0.0172238,0.24342
35999.6,0.0265552,0.252516
35999.7,0.0187965,0.245256
35999.7,0.0205149,0.246893
35999.7,0.0242442,0.250381
35999.7,0.0176572,0.243996
35999.8,0.0261281,0.25266
35999.7,0.0211741,0.247493
35999.7,0.0168379,0.243173
35999.7,0.0219098,0.248444
35999.7,0.0185777,0.24485
35999.6,0.0170506,0.243126
35999.8,0.0186741,0.244899
35999.6,0.0236101,0.249682
35999.7,0.0249444,0.250971
35999.7,0.0211053,0.247275
35999.6,0.0234754,0.24978
35999.6,0.0190115,0.245187
35999.8,0.0169001,0.243157
