Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
19499.8,2.44026,1.11722,6.25794,5.68028
19499.8,2.44062,1.11719,6.25822,5.68037
19499.8,2.44053,1.11715,6.25808,5.68018
19499.8,2.44053,1.11721,6.25778,5.68001
19499.7,2.44038,1.11721,6.25787,5.68006
19499.8,2.44052,1.11709,6.25754,5.67972
19499.8,2.44049,1.11719,6.25792,5.67999
19499.8,2.44057,1.11713,6.25771,5.67987
19499.8,2.44052,1.11714,6.25765,5.67983
19499.8,2.44059,1.11719,6.25824,5.6802
19499.8,2.44064,1.1171,6.25761,5.67968
19499.8,2.44011,1.11696,6.25753,5.67952
19499.8,2.44036,1.11714,6.25756,5.67953
19499.8,2.44049,1.11715,6.25784,5.67988
19499.8,2.44069,1.11719,6.25783,5.67994
19499.8,2.44042,1.11701,6.2573,5.67953
19499.8,2.44039,1.11708,6.25757,5.67979
19499.8,2.4407,1.11716,6.25785,5.6799
19499.8,2.44046,1.11712,6.2577,5.67971
19499.8,2.44057,1.1171,6.2576,5.67962
19499.8,2.44062,1.11714,6.25772,5.67949
19499.8,2.44057,1.11719,6.25794,5.67971
19499.8,2.44046,1.11703,6.25744,5.67954
19499.7,2.44029,1.11709,6.25718,5.67913
19499.8,2.44063,1.11704,6.25762,5.67937
19499.8,2.44074,1.11704,6.25777,5.67924
19499.8,2.44019,1.11693,6.25704,5.67879
19499.8,2.4407,1.1171,6.25754,5.67926
19499.7,2.44025,1.11705,6.25746,5.67926
19499.8,2.44063,1.11701,6.25738,5.67928
19499.7,2.44055,1.11706,6.25744,5.67937
19499.7,2.44055,1.11711,6.25796,5.6797
19499.8,2.4404,1.11711,6.2575,5.67926
19499.8,2.44054,1.11712,6.2577,5.67938
19499.8,2.44052,1.11709,6.25747,5.6793
19499.7,2.44027,1.11707,6.2574,5.67919
19499.8,2.44054,1.11706,6.2575,5.67926
19499.8,2.44053,1.11707,6.25772,5.67948
19499.8,2.44049,1.11708,6.25727,5.67932
19499.8,2.44062,1.11698,6.2575,5.67918
19499.8,2.44039,1.11708,6.25738,5.67929
19499.8,2.44069,1.11712,6.25753,5.67945
19499.8,2.44063,1.11711,6.25753,5.67947
19499.8,2.44034,1.11703,6.25726,5.67908
19499.8,2.44053,1.11707,6.25746,5.67929
19499.7,2.44067,1.11713,6.2577,5.67949
19499.8,2.44067,1.11709,6.25722,5.67915
19499.8,2.44058,1.11713,6.25771,5.67954
19499.8,2.44075,1.1171,6.25779,5.67942
19499.8,2.44036,1.11702,6.25729,5.67911
19499.8,2.44037,1.11704,6.25702,5.67881
19499.8,2.44071,1.1171,6.25777,5.67935
19499.8,2.44038,1.11708,6.25735,5.67905
19499.8,2.44074,1.11712,6.25766,5.67947
19499.8,2.44063,1.11712,6.25782,5.67961
19499.7,2.4401,1.11697,6.25655,5.67863
19499.8,2.44043,1.11708,6.25728,5.67912
19499.7,2.44032,1.11705,6.2572,5.67895
19499.8,2.44048,1.11712,6.25762,5.67924
19499.8,2.44069,1.11699,6.25733,5.67913
19499.7,2.44055,1.11713,6.25732,5.679
19499.8,2.44035,1.11708,6.25718,5.67884
19499.7,2.44045,1.11707,6.25722,5.67858
19499.8,2.44048,1.11695,6.25723,5.67871
19499.7,2.44023,1.11695,6.25716,5.6785
19499.7,2.44049,1.11702,6.25722,5.67879
19499.8,2.44038,1.11704,6.25688,5.6785
19499.8,2.44048,1.11697,6.25689,5.67866
19499.8,2.44035,1.11706,6.25707,5.67877
19499.8,2.44051,1.11701,6.25708,5.67881
19499.8,2.4403,1.11697,6.25711,5.67863
19499.8,2.44032,1.11702,6.25705,5.67876
19499.8,2.44008,1.11691,6.25675,5.67844
19499.8,2.44035,1.11709,6.25718,5.67889
19499.8,2.4404,1.11706,6.25716,5.67874
19499.8,2.44022,1.11705,6.25697,5.67869
19499.7,2.44054,1.11707,6.25705,5.67858
19499.8,2.4403,1.11696,6.25688,5.67851
19499.8,2.44042,1.11704,6.25737,5.67884
19499.7,2.44037,1.117,6.25695,5.6787
19499.7,2.44017,1.11701,6.25702,5.67889
19499.8,2.44045,1.11716,6.25763,5.67916
19499.8,2.44025,1.1169,6.25662,5.67836
19499.7,2.44013,1.1169,6.25642,5.67813
19499.7,2.44013,1.11704,6.25687,5.67856
19499.7,2.44024,1.11694,6.25664,5.67829
19499.8,2.44064,1.11699,6.257,5.67856
19499.7,2.44037,1.11703,6.2571,5.67866
19499.8,2.44034,1.11699,6.25719,5.67882
19499.7,2.44029,1.11698,6.25677,5.67847
19499.8,2.44063,1.11716,6.25744,5.67912
19499.8,2.44053,1.11702,6.25723,5.67888
19499.8,2.44089,1.1171,6.25746,5.67914
19499.8,2.44029,1.1171,6.25722,5.67889
19499.8,2.44038,1.11705,6.25704,5.67872
19499.7,2.44048,1.11709,6.25717,5.67894
19499.7,2.44043,1.11705,6.25701,5.67867
19499.8,2.44024,1.11701,6.25689,5.67868
19499.7,2.44035,1.11711,6.25727,5.67889
19499.8,2.44066,1.11712,6.25745,5.67897
19499.8,2.44024,1.11699,6.25693,5.67865
19499.8,2.44038,1.11698,6.25685,5.67848
19499.9,2.44036,1.11693,6.25683,5.6785
19499.8,2.44034,1.11702,6.25715,5.67856
19499.8,2.44034,1.11712,6.25734,5.67895
19499.8,2.44091,1.11709,6.25744,5.67896
19499.8,2.4404,1.11707,6.25741,5.67902
19499.8,2.44055,1.11704,6.25714,5.67882
19499.8,2.44041,1.11704,6.25713,5.67876
19499.8,2.44019,1.11698,6.25682,5.67861
19499.8,2.44061,1.11706,6.2572,5.67898
19499.8,2.44054,1.11707,6.25716,5.67876
19499.8,2.44029,1.11697,6.25673,5.67856
19499.7,2.44038,1.11699,6.25682,5.67852
19499.8,2.44051,1.11707,6.25707,5.67871
19499.7,2.44034,1.11703,6.25721,5.6786
19499.8,2.44072,1.11694,6.25681,5.67834
19499.7,2.44023,1.11692,6.25615,5.6778
19499.8,2.4405,1.11699,6.2567,5.6782
19499.8,2.44064,1.11699,6.25724,5.67859
19499.8,2.44049,1.11705,6.25692,5.67839
19499.7,2.44032,1.1169,6.25658,5.678
19499.8,2.44041,1.11702,6.25678,5.67829
19499.8,2.44055,1.11696,6.25686,5.6784
19499.8,2.44011,1.11687,6.25641,5.67788
19499.8,2.44012,1.11695,6.25651,5.67801
19499.8,2.44035,1.11699,6.25661,5.67794
19499.8,2.44058,1.11701,6.25734,5.67859
19499.8,2.44041,1.11698,6.25689,5.67815
19499.8,2.4404,1.11697,6.25666,5.67781
19499.8,2.44057,1.11698,6.25669,5.67793
19499.7,2.44028,1.11687,6.25631,5.67735
19499.8,2.44048,1.11693,6.25672,5.67769
19499.8,2.44064,1.11696,6.25658,5.67784
19499.8,2.44075,1.11705,6.25737,5.67845
19499.7,2.44043,1.11705,6.25707,5.67814
19499.8,2.44057,1.11697,6.25659,5.67781
19499.8,2.44023,1.11698,6.25702,5.67811
19499.8,2.44071,1.11701,6.25714,5.67818
19499.8,2.44065,1.11697,6.25678,5.67782
19499.8,2.44035,1.1169,6.25628,5.67743
19499.8,2.44006,1.11681,6.25611,5.67727
19499.8,2.44043,1.11695,6.25643,5.67737
19499.8,2.44027,1.11685,6.25618,5.67723
19499.8,2.44044,1.11704,6.25704,5.67796
19499.8,2.44047,1.11692,6.25672,5.67789
19499.8,2.44042,1.11701,6.25635,5.67771
19499.8,2.44023,1.11693,6.25677,5.67782
