Frequency,Gen,R,L,C
14299.899,2.479,0.666,2.684,4.767
14299.891,2.479,0.666,2.685,4.767
14349.868,2.479,0.673,2.72,4.794
14349.888,2.479,0.673,2.721,4.795
14399.765,2.478,0.679,2.757,4.823
14449.859,2.478,0.686,2.794,4.851
14449.868,2.478,0.686,2.794,4.851
14499.798,2.478,0.692,2.832,4.879
14499.828,2.477,0.692,2.832,4.879
14549.901,2.477,0.699,2.87,4.907
14599.826,2.477,0.706,2.908,4.936
14599.768,2.477,0.706,2.909,4.936
14649.954,2.476,0.713,2.948,4.965
14649.922,2.477,0.713,2.948,4.965
14699.855,2.476,0.72,2.988,4.995
14749.741,2.476,0.727,3.028,5.024
14749.718,2.475,0.727,3.028,5.024
14799.883,2.475,0.734,3.069,5.054
14849.808,2.475,0.741,3.11,5.084
14849.739,2.475,0.741,3.111,5.084
14899.898,2.474,0.748,3.152,5.114
14899.882,2.474,0.748,3.152,5.114
14949.816,2.474,0.756,3.194,5.145
14999.903,2.474,0.763,3.237,5.176
14999.907,2.473,0.763,3.238,5.176
15049.845,2.473,0.771,3.28,5.206
15049.83,2.473,0.771,3.281,5.207
15099.944,2.472,0.778,3.325,5.238
15149.849,2.472,0.786,3.369,5.269
15149.854,2.472,0.786,3.37,5.269
15199.767,2.471,0.793,3.414,5.301
15199.764,2.471,0.793,3.415,5.301
15249.873,2.471,0.801,3.46,5.333
15299.81,2.47,0.809,3.506,5.364
15299.788,2.471,0.809,3.507,5.365
15349.926,2.47,0.817,3.553,5.397
15349.94,2.47,0.817,3.553,5.397
15399.838,2.469,0.825,3.6,5.429
15449.905,2.469,0.833,3.648,5.461
15449.915,2.469,0.833,3.649,5.462
15499.854,2.468,0.841,3.696,5.494
15549.741,2.468,0.849,3.745,5.527
15549.733,2.467,0.849,3.745,5.527
15599.873,2.467,0.857,3.794,5.559
15599.906,2.467,0.857,3.794,5.559
15649.764,2.466,0.865,3.844,5.591
15699.865,2.466,0.874,3.894,5.624
15699.874,2.466,0.874,3.895,5.625
15749.802,2.465,0.882,3.945,5.658
15749.8,2.465,0.882,3.945,5.657
15799.991,2.464,0.89,3.996,5.69
15849.883,2.464,0.899,4.047,5.723
15849.778,2.464,0.899,4.047,5.723
15899.754,2.463,0.907,4.099,5.756
15899.738,2.463,0.907,4.099,5.756
15949.846,2.462,0.916,4.151,5.788
15999.769,2.462,0.924,4.204,5.821
15999.754,2.462,0.924,4.204,5.821
16049.83,2.461,0.933,4.257,5.854
16049.855,2.461,0.933,4.257,5.854
16099.774,2.46,0.941,4.311,5.886
16149.874,2.46,0.95,4.364,5.918
16149.927,2.46,0.95,4.365,5.918
16199.842,2.459,0.958,4.419,5.95
16199.794,2.459,0.958,4.419,5.95
16249.911,2.458,0.967,4.473,5.982
16299.879,2.457,0.975,4.527,6.013
16299.844,2.457,0.975,4.527,6.012
16349.739,2.457,0.984,4.582,6.044
16399.87,2.456,0.992,4.636,6.074
16399.897,2.456,0.992,4.637,6.074
16449.794,2.455,1.001,4.692,6.104
16449.773,2.455,1.001,4.692,6.104
16499.914,2.455,1.009,4.747,6.134
16549.834,2.454,1.017,4.801,6.164
16549.809,2.454,1.017,4.802,6.163
16599.904,2.453,1.026,4.857,6.192
16599.864,2.453,1.026,4.857,6.192
16649.835,2.452,1.034,4.911,6.221
16699.765,2.452,1.042,4.967,6.248
16699.757,2.452,1.042,4.967,6.248
16749.88,2.451,1.05,5.022,6.276
16749.823,2.451,1.05,5.022,6.275
16799.741,2.45,1.058,5.076,6.301
16849.849,2.45,1.066,5.131,6.327
16849.862,2.45,1.066,5.131,6.327
16899.836,2.449,1.074,5.185,6.352
16899.824,2.449,1.074,5.185,6.352
16949.871,2.448,1.082,5.24,6.376
16999.818,2.447,1.089,5.293,6.399
16999.814,2.447,1.089,5.293,6.399
17049.724,2.447,1.097,5.345,6.421
17099.823,2.446,1.104,5.398,6.443
17099.857,2.446,1.104,5.398,6.443
17149.794,2.445,1.111,5.45,6.463
17149.783,2.446,1.111,5.451,6.463
17199.841,2.445,1.118,5.502,6.483
17249.793,2.444,1.125,5.553,6.502
17249.786,2.444,1.125,5.553,6.501
17299.853,2.444,1.132,5.604,6.519
17299.855,2.444,1.132,5.604,6.519
17349.843,2.443,1.138,5.654,6.535
17399.907,2.443,1.145,5.703,6.55
17399.947,2.442,1.145,5.703,6.55
17449.863,2.442,1.151,5.751,6.564
17449.892,2.442,1.151,5.751,6.564
17499.752,2.441,1.157,5.798,6.576
17549.844,2.441,1.162,5.844,6.588
17549.881,2.441,1.162,5.844,6.587
17599.789,2.44,1.168,5.889,6.598
17599.801,2.44,1.168,5.889,6.597
17649.83,2.439,1.173,5.933,6.606
17699.793,2.439,1.178,5.976,6.613
17699.802,2.439,1.178,5.976,6.613
17749.882,2.438,1.183,6.018,6.619
17799.781,2.438,1.187,6.06,6.624
17799.782,2.438,1.187,6.06,6.624
17849.69,2.437,1.191,6.099,6.628
17849.725,2.437,1.191,6.099,6.628
17899.805,2.437,1.195,6.139,6.63
17949.735,2.437,1.199,6.176,6.632
17949.731,2.437,1.199,6.176,6.631
17999.845,2.436,1.203,6.213,6.631
17999.797,2.436,1.203,6.214,6.631
18049.82,2.436,1.206,6.248,6.629
18099.884,2.436,1.209,6.281,6.625
18099.863,2.436,1.209,6.281,6.625
18149.868,2.436,1.211,6.313,6.62
18149.821,2.436,1.211,6.313,6.62
18199.885,2.435,1.214,6.343,6.613
18249.775,2.435,1.216,6.373,6.606
18249.831,2.435,1.216,6.373,6.606
18299.744,2.435,1.218,6.402,6.597
18299.732,2.435,1.218,6.402,6.597
18349.833,2.435,1.22,6.429,6.587
18399.753,2.434,1.221,6.454,6.576
18399.751,2.434,1.221,6.454,6.576
18449.789,2.434,1.222,6.478,6.564
18487.285,2.433,1.222,6.492,6.552
18499.783,2.434,1.223,6.502,6.55
18549.883,2.434,1.224,6.524,6.535
18549.798,2.434,1.224,6.524,6.535
18599.782,2.434,1.224,6.544,6.519
18649.688,2.434,1.224,6.563,6.502
18649.714,2.434,1.224,6.564,6.502
18699.806,2.434,1.224,6.58,6.483
18699.784,2.434,1.224,6.58,6.483
18749.743,2.434,1.223,6.596,6.463
18799.816,2.434,1.223,6.61,6.441
18799.836,2.434,1.223,6.61,6.441
18849.781,2.434,1.222,6.624,6.42
