Frequency,Gen(mV),R(mV),L(mV),C(mV)
31199.74,2.488,0.402,3.658,1.264
31399.613,2.488,0.397,3.635,1.238
31499.601,2.488,0.395,3.624,1.226
31699.643,2.489,0.39,3.603,1.202
31899.708,2.489,0.385,3.582,1.178
31999.742,2.489,0.382,3.572,1.166
32099.768,2.489,0.38,3.562,1.155
32199.564,2.489,0.378,3.553,1.144
32299.624,2.489,0.376,3.543,1.133
32399.638,2.489,0.373,3.533,1.122
32499.646,2.489,0.371,3.524,1.111
32599.653,2.489,0.369,3.514,1.1
32699.704,2.489,0.367,3.505,1.09
32899.747,2.489,0.362,3.487,1.069
32999.57,2.489,0.36,3.478,1.059
33199.63,2.49,0.356,3.461,1.04
33299.602,2.49,0.354,3.452,1.03
33399.705,2.49,0.352,3.444,1.021
33499.775,2.49,0.35,3.436,1.011
33599.734,2.49,0.348,3.427,1.002
33699.576,2.49,0.346,3.419,0.993
33799.556,2.49,0.344,3.411,0.984
33899.625,2.49,0.342,3.403,0.975
33999.603,2.49,0.34,3.395,0.966
34099.685,2.49,0.339,3.387,0.957
34299.707,2.49,0.335,3.372,0.94
34499.609,2.49,0.331,3.357,0.923
34599.582,2.49,0.33,3.35,0.915
34799.559,2.49,0.326,3.336,0.899
34899.657,2.49,0.324,3.329,0.891
34999.671,2.49,0.323,3.321,0.884
