Frequency - Fgen,Phase - R,
28000.2,-52.2596,0.963343
28050.1,-52.1608,0.963343
28100.2,-52.4745,0.963343
28150.1,-52.0908,0.963343
28200.2,-52.2298,0.963343
28250.2,-52.1746,0.963343
28300.1,-52.478,0.963343
28350.2,-52.8094,0.963343
28400.1,-52.3586,0.963343
28450.2,-52.98,0.963343
28500.1,-52.4171,0.963343
28550.2,-53.0196,0.963343
28650.3,-53.3306,0.963343
28700.2,-52.9591,0.963343
28750.1,-53.3485,0.963343
28800.2,-53.1962,0.963343
28850.1,-52.9898,0.963343
28900.2,-53.2898,0.963343
28950.1,-53.3444,0.963343
29050.2,-53.7024,0.963343
29100.1,-53.7708,0.963343
29150.2,-53.2735,0.963343
29200.1,-53.7901,0.963343
29250.2,-53.6113,0.963343
29300.1,-53.9995,0.963343
29350.2,-54.0487,0.963343
29450.1,-54.3714,0.963343
29500.2,-53.956,0.963343
29550.1,-54.3763,0.963343
29600.2,-54.1838,0.963343
29650.1,-54.4988,0.963343
29750.2,-54.0431,0.963343
29800.3,-54.6431,0.963343
29850.2,-53.7747,0.963343
29900.1,-54.9454,0.963343
29950.2,-54.7743,0.963343
30000.1,-54.6892,0.963343
30050.2,-54.4412,0.963343
30150.3,-54.6557,0.963343
30200.2,-54.7848,0.963343
30250.1,-54.7275,0.963343
30300.2,-54.9431,0.963343
30350.1,-55.065,0.963343
30400.2,-54.9938,0.963343
30450.1,-55.1435,0.963343
30500.2,-55.0887,0.963343
30550.2,-55.2105,0.963343
30600.1,-55.3929,0.963343
30650.2,-55.3601,0.963343
30700.1,-55.4562,0.963343
30750.2,-55.3285,0.963343
30800.1,-54.8914,0.963343
30900.1,-55.344,0.963343
30950.3,-55.1164,0.963343
31000.2,-55.0646,0.963343
31050.1,-55.6038,0.963343
31100.2,-55.5642,0.963343
31200.2,-55.0218,0.963343
31250.1,-55.4926,0.963343
31300.2,-55.8677,0.963343
31350.2,-55.3451,0.963343
31400.1,-55.3598,0.963343
31450.2,-55.949,0.963343
31500.1,-55.7049,0.963343
31600.1,-56.0531,0.963343
31650.2,-55.951,0.963343
31700.2,-55.5833,0.963343
31750.3,-55.7637,0.963343
31800.2,-55.8724,0.963343
31850.1,-55.9981,0.963343
31900.2,-56.1686,0.963343
31950.1,-55.479,0.963343
32000.2,-56.1063,0.963343
32050.2,-55.4759,0.963343
32100.3,-56.9094,0.963343
32150.2,-55.7765,0.963343
32200.1,-55.6051,0.963343
32250.2,-56.1406,0.963343
32300.1,-55.7614,0.963343
32350.2,-56.1705,0.963343
32400.2,-56.147,0.963343
32450.3,-56.3091,0.963343
32500.2,-56.4672,0.963343
32550.1,-56.3539,0.963343
32600.2,-56.1265,0.963343
32700.2,-56.4589,0.963343
32750.1,-56.2924,0.963343
32800.3,-56.2642,0.963343
32850.2,-56.1892,0.963343
32900.3,-56.6025,0.963343
32950.2,-55.7966,0.963343
33000.1,-56.3047,0.963343
33050.2,-56.2421,0.963343
33100.1,-56.5821,0.963343
33150.2,-56.1882,0.963343
33200.2,-56.496,0.963343
33250.3,-56.3186,0.963343
33300.2,-56.4573,0.963343
33400.2,-56.3432,0.963343
33450.1,-56.274,0.963343
33500.2,-56.3572,0.963343
33550.2,-56.5658,0.963343
33600.3,-56.6882,0.963343
33650.2,-56.5691,0.963343
33700.1,-56.9708,0.963343
33800.1,-57.1221,0.963343
33850.2,-56.7031,0.963343
33900.1,-56.4815,0.963343
33950.3,-56.5802,0.963343
34000.2,-56.3833,0.963343
34050.3,-56.5661,0.963343
34100.2,-56.3852,0.963343
34150.1,-56.7822,0.963343
34200.2,-56.5636,0.963343
34250.1,-56.1829,0.963343
34300.2,-56.8601,0.963343
34350.2,-56.3176,0.963343
34400.3,-56.8073,0.963343
34450.2,-56.3985,0.963343
34500.1,-56.4736,0.963343
34550.2,-56.6725,0.963343
34600.1,-56.3783,0.963343
34650.2,-56.6878,0.963343
34750.3,-56.6339,0.963343
34800.2,-56.1938,0.963343
34850.3,-56.8563,0.963343
34900.2,-56.6146,0.963343
34950.1,-56.7488,0.963343
35000.2,-56.546,0.963343
35050.2,-56.6271,0.963343
35100.3,-56.6683,0.963343
35150.2,-56.501,0.963343
35200.3,-56.9612,0.963343
35250.2,-56.1588,0.963343
35300.1,-56.6762,0.963343
35400.1,-57.0932,0.963343
35450.2,-56.224,0.963343
35500.2,-56.4219,0.963343
35550.3,-56.2642,0.963343
35600.2,-56.688,0.963343
35650.1,-56.5491,0.963343
35700.2,-56.9253,0.963343
35800.2,-56.499,0.963343
35850.2,-56.3125,0.963343
35900.3,-56.5721,0.963343
35950.2,-56.8156,0.963343
36000.3,-57.0483,0.963343
36050.2,-56.7233,0.963343
36100.1,-56.7604,0.963343
36200.2,-56.8064,0.963343
36250.3,-56.4129,0.963343
36300.2,-56.2877,0.963343
36350.3,-56.2876,0.963343
36400.2,-56.3175,0.963343
36450.1,-56.3809,0.963343
36500.2,-56.126,0.963343
36550.1,-56.2553,0.963343
36600.3,-56.4138,0.963343
36650.2,-56.4571,0.963343
36700.3,-56.3942,0.963343
36750.2,-56.4559,0.963343
36850.2,-56.8403,0.963343
36900.1,-56.0483,0.963343
36950.2,-56.5871,0.963343
37000.2,-56.5836,0.963343
37050.3,-56.4664,0.963343
37100.2,-56.0906,0.963343
37150.3,-56.7853,0.963343
37250.1,-56.3597,0.963343
37300.2,-56.8014,0.963343
37350.2,-56.1123,0.963343
37400.3,-56.0912,0.963343
37450.2,-56.4153,0.963343
37500.3,-56.2879,0.963343
37550.2,-56.1762,0.963343
37600.1,-56.1001,0.963343
37650.2,-56.1025,0.963343
37700.1,-55.7645,0.963343
37750.2,-56.2595,0.963343
37800.2,-56.3738,0.963343
37900.2,-56.3904,0.963343
37950.3,-56.4638,0.963343
38000.2,-55.9568,0.963343
38050.1,-56.4277,0.963343
38100.2,-55.5932,0.963343
38150.2,-56.1713,0.963343
38200.3,-56.2639,0.963343
38300.3,-55.7502,0.963343
38350.2,-56.0527,0.963343
38400.1,-56.1953,0.963343
38450.2,-56.3228,0.963343
38500.2,-55.8825,0.963343
38600.2,-56.522,0.963343
38650.3,-55.9556,0.963343
38700.2,-55.8476,0.963343
38750.1,-55.9335,0.963343
38800.2,-56.0461,0.963343
38850.1,-55.5378,0.963343
38900.3,-56.383,0.963343
39000.3,-56.1633,0.963343
39050.2,-56.0265,0.963343
39100.3,-55.7418,0.963343
39150.2,-56.2837,0.963343
