Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C,,,,
8250.07,-4.77559,65.1318,163.589,-5.093,0.963342836,0.963342836,0.963342836,0.963342836
8299.99,-4.55562,65.4862,163.798,-4.901,0.963342836,0.963342836,0.963342836,0.963342836
8350.1,-4.56401,65.356,163.697,-4.94,0.963342836,0.963342836,0.963342836,0.963342836
8400.02,-4.70249,65.3274,163.55,-5.113,0.963342836,0.963342836,0.963342836,0.963342836
8450.12,-4.81835,65.2383,163.406,-5.248,0.963342836,0.963342836,0.963342836,0.963342836
8500.04,-4.48251,65.5865,163.674,-4.96,0.963342836,0.963342836,0.963342836,0.963342836
8549.96,-4.63799,65.373,163.499,-5.139,0.963342836,0.963342836,0.963342836,0.963342836
8600.07,-4.33055,65.6056,163.736,-4.878,0.963342836,0.963342836,0.963342836,0.963342836
8649.99,-4.58611,65.3867,163.414,-5.168,0.963342836,0.963342836,0.963342836,0.963342836
8700.09,-4.44878,65.5762,163.494,-5.055,0.963342836,0.963342836,0.963342836,0.963342836
8750.01,-4.42036,65.4569,163.516,-5.066,0.963342836,0.963342836,0.963342836,0.963342836
8800.12,-4.48791,65.5969,163.386,-5.154,0.963342836,0.963342836,0.963342836,0.963342836
8850.04,-4.35594,65.6524,163.466,-5.076,0.963342836,0.963342836,0.963342836,0.963342836
8900.14,-4.18062,65.9491,163.581,-4.952,0.963342836,0.963342836,0.963342836,0.963342836
8950.06,-4.46898,65.5502,163.264,-5.272,0.963342836,0.963342836,0.963342836,0.963342836
9050.08,-4.44042,65.519,163.179,-5.319,0.963342836,0.963342836,0.963342836,0.963342836
9100,-4.5298,65.4345,162.946,-5.451,0.963342836,0.963342836,0.963342836,0.963342836
9150.11,-4.48854,65.487,162.943,-5.438,0.963342836,0.963342836,0.963342836,0.963342836
9200.02,-4.41808,65.5873,163.002,-5.43,0.963342836,0.963342836,0.963342836,0.963342836
9250.13,-4.03622,65.8948,163.3,-5.082,0.963342836,0.963342836,0.963342836,0.963342836
9349.97,-4.57436,65.3555,162.615,-5.7,0.963342836,0.963342836,0.963342836,0.963342836
9400.08,-4.31647,65.5468,162.836,-5.485,0.963342836,0.963342836,0.963342836,0.963342836
