Frequency - Fgen,Phase - Fgen,Phase - R,Phase - L,Phase - C
12499.9,-0.00212223,1.21277,2.82252,-0.0705217
12499.9,-0.004907,1.20977,2.81947,-0.0732979
12599.9,-0.00497842,1.20227,2.81288,-0.0787385
12599.9,-0.00566847,1.20129,2.812,-0.0793694
12599.9,-0.00453069,1.20295,2.81327,-0.0781232
12699.9,-0.00069299,1.19974,2.81094,-0.0795514
12699.9,-0.00477435,1.19598,2.80658,-0.0835596
12700,-0.00462922,1.19578,2.80706,-0.0834867
12700,-0.00253932,1.19806,2.80911,-0.0812218
12799.7,-0.000266496,1.19289,2.80483,-0.0846895
12799.8,-0.00277934,1.19084,2.80217,-0.0869441
12799.8,-0.000946474,1.19214,2.80373,-0.0854315
12899.8,-0.00130059,1.18406,2.79674,-0.0913298
12899.8,-0.00238158,1.18313,2.79563,-0.0923218
12899.8,-0.00302336,1.18234,2.79477,-0.0932047
12999.8,-0.00254403,1.17542,2.78833,-0.0982084
12999.8,-0.00380192,1.17402,2.78672,-0.09975
12999.8,-0.00294892,1.17483,2.78774,-0.0990664
12999.8,-0.0011329,1.17627,2.78966,-0.0972445
13099.8,-0.00198174,1.16777,2.78165,-0.104016
13099.9,0.000846218,1.17088,2.78461,-0.10103
13099.9,-0.000767818,1.16936,2.78288,-0.102428
13199.9,0.000107955,1.16203,2.77656,-0.108067
13199.8,-0.00247976,1.15923,2.77357,-0.110796
13199.8,-0.000825343,1.16046,2.77517,-0.10928
13299.9,-0.00193797,1.15151,2.76664,-0.116664
13299.8,-0.00201924,1.15114,2.76644,-0.116731
13299.9,-0.00226812,1.15095,2.766,-0.117201
13400,-0.00103526,1.14328,2.75912,-0.122717
13399.9,-0.00237068,1.14149,2.75725,-0.124411
13399.9,-0.00192224,1.14214,2.75797,-0.123955
13399.9,-0.00316149,1.14079,2.75677,-0.125124
13499.9,-0.00164841,1.1334,2.74968,-0.130963
13500,-0.000742808,1.13426,2.75064,-0.129844
13499.9,-0.00106003,1.13379,2.75038,-0.130342
13599.8,-0.000204845,1.12575,2.74239,-0.13673
13599.8,-0.00196748,1.12397,2.74061,-0.138432
13599.7,-0.000896004,1.12431,2.7413,-0.137702
13699.8,-0.00335782,1.1129,2.73052,-0.147441
13699.8,0.000538656,1.1166,2.73414,-0.143771
13699.8,-0.002664,1.11357,2.73133,-0.146864
13799.8,0.000992642,1.10722,2.72532,-0.151318
13799.8,0.000597327,1.10689,2.72505,-0.151571
13799.8,-5.35E-05,1.10621,2.72442,-0.152208
13799.8,-0.00028976,1.10584,2.72407,-0.152556
13899.8,-0.000470796,1.09582,2.71496,-0.160752
13899.8,0.00130486,1.09748,2.71659,-0.159053
13899.9,0.000810819,1.09726,2.71608,-0.159503
13999.9,0.00119151,1.08688,2.70681,-0.16763
13999.8,0.000476051,1.08606,2.70579,-0.168508
13999.8,-0.0010044,1.08444,2.7041,-0.170228
14099.8,-0.00038968,1.07443,2.69476,-0.178316
14099.9,-0.000701957,1.07417,2.69457,-0.178615
14100,0.00157665,1.07706,2.69714,-0.175916
14099.8,0.00224547,1.07693,2.69689,-0.175929
14199.9,0.00112422,1.06383,2.68444,-0.186764
14200,-0.00124949,1.06138,2.68193,-0.189106
14199.9,-0.000507643,1.06177,2.6826,-0.188678
14299.9,-0.000945459,1.05037,2.67139,-0.198368
14299.9,-0.000442892,1.05027,2.67152,-0.198259
14299.9,-7.46E-05,1.05071,2.67173,-0.197885
14399.8,0.000118304,1.03946,2.661,-0.207423
14399.7,0.00123542,1.04037,2.66203,-0.206475
14399.8,0.0028141,1.04158,2.66352,-0.204921
14499.8,-0.00055602,1.02668,2.64896,-0.218189
14499.8,0.00251816,1.02904,2.6517,-0.2156
14499.9,0.00302311,1.02998,2.65261,-0.214694
14499.8,6.16E-05,1.02674,2.64914,-0.217938
14599.8,0.0045128,1.01872,2.64187,-0.224111
14599.8,0.00253416,1.01652,2.63969,-0.226348
14599.8,0.000238334,1.01418,2.63719,-0.228704
14699.9,0.00320174,1.00464,2.62826,-0.236409
14699.8,0.000144711,1.00104,2.6247,-0.239837
14699.8,0.00246051,1.00301,2.62706,-0.237666
14799.8,0.00250221,0.989767,2.61421,-0.249121
14799.8,0.00205757,0.989243,2.61355,-0.249808
14799.9,0.000629261,0.987806,2.61224,-0.251194
14799.8,0.00473678,0.991713,2.61622,-0.247177
14899.9,0.00124993,0.974005,2.59955,-0.262676
14899.9,0.00394635,0.977056,2.60238,-0.259877
14899.9,0.00121687,0.973794,2.59941,-0.262758
14999.9,0.0024578,0.959187,2.58455,-0.275114
14999.9,0.00341343,0.959663,2.58485,-0.274718
14999.9,0.0048929,0.961214,2.58654,-0.273266
15099.9,0.00334973,0.945043,2.57107,-0.287369
15099.9,0.00547302,0.946907,2.57288,-0.28544
15100,0.00315751,0.944896,2.57066,-0.28757
15199.8,0.00181751,0.928781,2.55514,-0.301846
15199.8,0.00313921,0.929893,2.55641,-0.300738
15199.7,0.00614987,0.932606,2.55908,-0.298001
15199.8,0.00663335,0.933185,2.55956,-0.297456
15299.8,0.000852305,0.911929,2.53912,-0.316758
15299.8,0.0027296,0.913414,2.54067,-0.315057
15299.8,0.00493205,0.915946,2.54306,-0.312715
15399.8,0.00328357,0.898241,2.52589,-0.328758
15399.8,0.00340467,0.898025,2.52585,-0.328674
15399.8,0.00364583,0.898135,2.52586,-0.328699
15499.8,0.00239955,0.880371,2.50885,-0.344571
15499.9,0.0066058,0.884789,2.51323,-0.340191
15499.9,0.00427639,0.882046,2.5106,-0.342775
15599.9,0.00298225,0.863698,2.49282,-0.359375
15599.9,0.00833938,0.868758,2.49795,-0.354289
15599.8,0.00547275,0.865506,2.49494,-0.357304
15599.8,0.00660713,0.866592,2.49581,-0.356447
15699.9,0.00204773,0.843833,2.47362,-0.377184
15699.8,0.00488507,0.846481,2.47627,-0.374551
15699.9,0.0051858,0.846757,2.47638,-0.374255
15799.9,0.00713546,0.83003,2.46069,-0.388841
15799.9,0.00661386,0.828964,2.45999,-0.389566
15799.9,0.00506356,0.827605,2.45837,-0.391192
15899.7,0.00430743,0.806095,2.43651,-0.410131
15899.7,0.00620587,0.808009,2.43831,-0.408211
15899.7,0.00667499,0.808473,2.43885,-0.407828
15899.7,0.00463982,0.805958,2.43641,-0.410201
15999.8,0.00700855,0.789754,2.42077,-0.424639
15999.7,0.00842463,0.790475,2.42161,-0.423822
15999.8,0.0059564,0.788103,2.41928,-0.426238
16099.8,0.00569684,0.768527,2.40025,-0.444057
16099.8,0.00529039,0.767773,2.3995,-0.444709
16099.8,0.00649407,0.768903,2.40067,-0.443602
16199.8,0.00894534,0.750657,2.38329,-0.459839
16199.8,0.0079616,0.749519,2.38205,-0.460954
16199.8,0.00505063,0.746352,2.37909,-0.464171
16299.8,0.00969808,0.729604,2.36309,-0.478935
16299.8,0.00704374,0.726862,2.36023,-0.481644
16299.9,0.00531113,0.725237,2.35851,-0.483346
16299.8,0.00672631,0.726339,2.35973,-0.482177
16400,0.00541459,0.703403,2.33769,-0.503119
16399.9,0.00582409,0.703251,2.33747,-0.503309
16399.9,0.0063097,0.703807,2.33784,-0.50281
16499.8,0.0048027,0.679154,2.31383,-0.525473
16499.8,0.0096282,0.683563,2.3185,-0.520886
16499.8,0.00988528,0.683745,2.3185,-0.520799
16600,0.00977678,0.659993,2.29554,-0.542318
16599.9,0.00895791,0.658643,2.29415,-0.543635
16599.9,0.00476894,0.6548,2.29016,-0.547571
16600,0.00761974,0.657412,2.293,-0.544901
16699.8,0.00675086,0.634171,2.26903,-0.566119
16699.8,0.00631265,0.63359,2.26835,-0.56672
16699.7,0.0077092,0.634527,2.26944,-0.565573
16799.8,0.00734178,0.611312,2.24708,-0.587204
16799.8,0.0079429,0.611191,2.24719,-0.587073
16799.8,0.00681633,0.610229,2.24601,-0.588146
16899.8,0.0101618,0.589396,2.22606,-0.607204
16899.8,0.00632131,0.585184,2.222,-0.61118
16899.8,0.00624153,0.584938,2.22179,-0.611452
16899.8,0.00990921,0.588665,2.22541,-0.607784
16999.8,0.00731003,0.560608,2.19836,-0.633703
