Frequency - Fgen,Amplitude - Fgen,Amplitude - R,Amplitude - L,Amplitude - C
17499.7,2.44359,1.09018,5.45407,6.20303
17499.7,2.44377,1.09032,5.45485,6.20362
17599.8,2.443,1.09943,5.53367,6.2166
17599.8,2.44239,1.09929,5.53339,6.21555
17599.8,2.44248,1.0993,5.53308,6.21499
17599.8,2.44241,1.09937,5.53372,6.21527
17699.8,2.44216,1.10768,5.60926,6.22404
17699.8,2.44191,1.10769,5.60921,6.22362
17699.8,2.44194,1.10765,5.60883,6.22299
17799.8,2.44087,1.11518,5.68112,6.22774
17799.7,2.44116,1.1152,5.68133,6.22743
17799.8,2.44101,1.11517,5.68149,6.2272
17899.9,2.44025,1.12173,5.74865,6.22699
17899.8,2.44027,1.12184,5.74902,6.2272
17899.9,2.44062,1.12192,5.74938,6.22755
17899.8,2.44052,1.12183,5.74931,6.22715
17999.8,2.43981,1.12774,5.81301,6.22247
17999.9,2.43965,1.12767,5.8127,6.22221
17999.9,2.43983,1.12768,5.81285,6.22202
18099.9,2.43909,1.13283,5.87353,6.21407
18099.8,2.43904,1.13279,5.87355,6.2138
18099.9,2.43898,1.13269,5.87327,6.21325
18199.9,2.43886,1.13708,5.93019,6.2011
18199.9,2.43879,1.13717,5.93072,6.20131
18199.8,2.43899,1.13717,5.93058,6.20099
18199.8,2.4385,1.13708,5.93003,6.20045
18299.7,2.43862,1.14047,5.98223,6.18329
18299.7,2.43858,1.14067,5.98296,6.18373
18299.7,2.43812,1.14052,5.98243,6.18301
18399.7,2.43806,1.14279,6.0288,6.16039
18399.8,2.43817,1.14285,6.02898,6.1605
18399.7,2.43802,1.14272,6.02868,6.16019
18499.8,2.43799,1.14413,6.06994,6.13309
18499.8,2.43788,1.14411,6.0698,6.133
18499.8,2.43768,1.14405,6.06989,6.13277
18599.8,2.43766,1.14458,6.10693,6.10203
18599.9,2.43784,1.14451,6.10652,6.10173
18599.8,2.43795,1.14464,6.10709,6.10206
18599.8,2.43813,1.14465,6.10719,6.10201
18699.8,2.43785,1.14449,6.14002,6.06755
18699.8,2.43797,1.14452,6.14023,6.06766
18699.8,2.43796,1.14444,6.13991,6.06725
18799.8,2.4381,1.14369,6.16951,6.02992
18799.8,2.43827,1.14359,6.16923,6.0299
18799.8,2.438,1.1436,6.16895,6.0297
18899.9,2.43803,1.14204,6.19459,5.98899
18899.8,2.43836,1.14205,6.19458,5.98925
18899.8,2.43829,1.14208,6.19448,5.98915
18948.1,2.43705,1.141,6.20321,5.97027
18999.7,2.43858,1.13962,6.21544,5.94473
18999.7,2.43845,1.1396,6.21523,5.94447
18999.7,2.43844,1.13958,6.21539,5.94444
19099.7,2.43879,1.13654,6.23199,5.89665
19099.7,2.43891,1.13643,6.23185,5.89658
19099.7,2.43879,1.13651,6.23192,5.89651
19199.8,2.43913,1.13236,6.243,5.8444
19199.7,2.43938,1.13245,6.24356,5.8449
19199.8,2.4392,1.1325,6.24331,5.84474
19299.7,2.43969,1.1277,6.25074,5.79053
19299.8,2.43947,1.12772,6.25043,5.79057
19299.7,2.4395,1.12768,6.25029,5.79041
19299.8,2.43927,1.12774,6.25077,5.79109
19399.8,2.44018,1.12273,6.25517,5.73549
19399.7,2.44022,1.1228,6.25592,5.73635
19399.8,2.44017,1.1227,6.25561,5.73615
19499.7,2.44075,1.11707,6.25727,5.6787
19499.8,2.44094,1.11721,6.25732,5.6794
19499.7,2.44075,1.11724,6.25766,5.67981
19599.9,2.4413,1.11101,6.25575,5.62012
19599.8,2.44127,1.11109,6.25578,5.62066
19599.9,2.44136,1.11108,6.25573,5.62083
