Frequency(Hz),Gen(rad),R,L,C
"39999,159","0,285","5,254","1,018","4,643"
"39999,122","3,194","0,336","3,975","0,724"
"39998,457","0,286","5,255","1,018","4,643"
"39999,159","3,191","0,336","3,970","0,724"
"39998,621","0,268","5,247","1,003","4,635"
"39998,457","3,189","0,336","3,968","0,724"
"39998,806","0,276","5,249","1,009","4,638"
"39998,621","3,174","0,336","3,947","0,722"
"39999,316","0,292","5,259","1,026","4,648"
"39998,806","3,182","0,336","3,958","0,723"
"39999,184","0,286","5,255","1,018","4,644"
"39999,316","3,198","0,336","3,981","0,725"
"39998,992","0,283","5,253","1,015","4,642"
"39999,184","3,192","0,336","3,971","0,724"
"39998,889","0,280","5,252","1,012","4,640"
"39998,992","3,189","0,336","3,967","0,724"
"39998,988","0,284","5,254","1,017","4,643"
"39998,889","3,186","0,336","3,962","0,723"
"39998,747","0,281","5,252","1,013","4,640"
"39998,988","3,190","0,336","3,969","0,724"
"39998,995","0,266","5,247","1,000","4,634"
"39998,747","3,186","0,336","3,963","0,723"
"39997,684","0,269","5,247","1,002","4,635"
"39998,995","3,174","0,336","3,944","0,722"
"39998,636","0,265","5,247","0,998","4,634"
"39997,684","3,173","0,336","3,943","0,722"
"39998,769","0,283","5,254","1,018","4,643"
"39998,636","3,173","0,336","3,943","0,722"
"39998,946","0,280","5,252","1,013","4,641"
"39998,769","3,188","0,336","3,967","0,724"
"39998,538","0,267","5,247","1,000","4,634"
"39998,946","3,186","0,336","3,964","0,723"
"39998,641","0,268","5,247","1,004","4,635"
"39998,538","3,173","0,336","3,944","0,722"
"39998,758","0,275","5,250","1,008","4,638"
"39998,641","3,175","0,336","3,948","0,722"
"39998,691","0,278","5,250","1,009","4,639"
"39998,758","3,181","0,336","3,956","0,723"
"39999,018","0,290","5,256","1,021","4,646"
"39998,691","3,183","0,336","3,958","0,723"
"39998,404","0,271","5,249","1,005","4,636"
"39999,018","3,195","0,336","3,975","0,724"
"39998,733","0,270","5,248","1,003","4,636"
"39998,404","3,177","0,336","3,952","0,723"
"39998,761","0,277","5,251","1,010","4,638"
"39998,733","3,177","0,336","3,950","0,723"
"39999,114","0,291","5,258","1,024","4,647"
"39998,761","3,182","0,336","3,958","0,723"
"39998,861","0,281","5,252","1,014","4,641"
"39999,114","3,196","0,336","3,979","0,725"
"39998,342","0,280","5,252","1,013","4,640"
"39998,861","3,187","0,336","3,965","0,724"
"39999,167","0,289","5,257","1,023","4,646"
"39998,342","3,185","0,336","3,960","0,723"
"39999,152","0,284","5,254","1,017","4,642"
"39999,167","3,196","0,336","3,978","0,724"
"39999,220","0,293","5,259","1,027","4,648"
"39999,152","3,190","0,336","3,970","0,724"
"39998,865","0,265","5,246","0,999","4,633"
"39999,220","3,199","0,337","3,982","0,725"
"39998,942","0,279","5,252","1,012","4,640"
"39998,865","3,173","0,336","3,944","0,722"
"39998,976","0,282","5,253","1,014","4,641"
"39998,942","3,186","0,336","3,962","0,723"
"39998,663","0,278","5,251","1,012","4,639"
"39998,976","3,188","0,336","3,965","0,724"
"39999,210","0,289","5,257","1,023","4,646"
"39998,663","3,183","0,336","3,960","0,723"
"39999,114","0,290","5,257","1,024","4,647"
"39999,210","3,195","0,336","3,977","0,724"
"39999,225","0,287","5,256","1,019","4,644"
"39999,114","3,196","0,336","3,978","0,724"
"39998,704","0,268","5,247","1,000","4,634"
"39999,225","3,194","0,336","3,973","0,724"
"39999,046","0,271","5,249","1,005","4,637"
"39998,704","3,175","0,336","3,945","0,722"
"39998,862","0,274","5,249","1,006","4,637"
"39999,046","3,179","0,336","3,953","0,722"
"39999,054","0,288","5,256","1,021","4,645"
"39998,862","3,181","0,336","3,954","0,723"
"39998,765","0,281","5,253","1,014","4,641"
"39999,054","3,194","0,336","3,974","0,724"
"39998,801","0,276","5,251","1,010","4,638"
"39998,765","3,186","0,336","3,963","0,723"
"39998,946","0,287","5,256","1,019","4,644"
"39998,801","3,183","0,336","3,958","0,723"
"39999,146","0,291","5,258","1,024","4,647"
"39998,946","3,192","0,336","3,973","0,724"
"39998,774","0,277","5,250","1,009","4,639"
"39999,146","3,197","0,336","3,979","0,724"
"39999,286","0,289","5,258","1,023","4,646"
"39998,774","3,182","0,336","3,957","0,723"
"39997,324","0,274","5,249","1,006","4,637"
"39999,286","3,196","0,336","3,978","0,724"
"39998,896","0,281","5,253","1,014","4,641"
"39997,324","3,174","0,336","3,946","0,722"
"39998,279","0,278","5,251","1,010","4,639"
"39998,896","3,187","0,336","3,964","0,723"
"39998,608","0,277","5,251","1,009","4,639"
"39998,279","3,182","0,336","3,957","0,723"
"39998,996","0,284","5,254","1,017","4,642"
"39998,608","3,182","0,336","3,956","0,723"
"39998,860","0,281","5,251","1,012","4,640"
"39998,996","3,190","0,336","3,969","0,724"
"39998,277","0,269","5,247","0,999","4,634"
"39998,860","3,186","0,336","3,962","0,723"
"39999,347","0,292","5,258","1,026","4,648"
"39998,277","3,174","0,336","3,945","0,722"
"39998,627","0,280","5,252","1,011","4,640"
"39999,347","3,199","0,336","3,982","0,725"
"39998,886","0,274","5,250","1,007","4,637"
"39998,627","3,185","0,336","3,960","0,723"
"39999,046","0,279","5,252","1,013","4,640"
"39998,886","3,180","0,336","3,955","0,723"
"39998,094","0,274","5,249","1,007","4,637"
"39999,046","3,186","0,336","3,962","0,723"
"39998,734","0,270","5,248","1,002","4,635"
"39998,094","3,177","0,336","3,949","0,722"
"39998,397","0,278","5,252","1,011","4,640"
"39998,734","3,177","0,336","3,949","0,722"
"39999,177","0,288","5,256","1,020","4,644"
"39998,397","3,182","0,336","3,956","0,723"
"39999,095","0,276","5,250","1,009","4,639"
"39999,177","3,194","0,336","3,973","0,724"
"39999,181","0,285","5,255","1,018","4,643"
"39999,095","3,183","0,336","3,958","0,723"
"39998,789","0,262","5,245","0,994","4,632"
"39999,181","3,191","0,336","3,970","0,724"
"39998,637","0,275","5,250","1,008","4,638"
"39998,789","3,170","0,336","3,939","0,722"
"39998,766","0,274","5,249","1,006","4,637"
"39998,637","3,181","0,336","3,955","0,723"
"39998,726","0,285","5,255","1,019","4,643"
"39998,766","3,180","0,336","3,953","0,723"
"39999,013","0,281","5,252","1,012","4,640"
"39998,726","3,189","0,336","3,969","0,724"
"39999,186","0,287","5,256","1,019","4,644"
"39999,013","3,187","0,336","3,963","0,724"
"39999,216","0,292","5,258","1,025","4,647"
"39999,186","3,194","0,336","3,973","0,724"
"39998,515","0,270","5,247","1,001","4,635"
"39999,216","3,197","0,336","3,980","0,725"
"39999,025","0,279","5,251","1,010","4,639"
"39998,515","3,176","0,336","3,948","0,723"
"39998,983","0,279","5,251","1,010","4,639"
"39999,025","3,185","0,336","3,961","0,723"
"39997,870","0,269","5,247","1,002","4,635"
"39998,983","3,185","0,336","3,960","0,723"
"39999,258","0,287","5,255","1,019","4,644"
"39997,870","3,173","0,336","3,943","0,722"
"39998,913","0,285","5,254","1,017","4,643"
"39999,258","3,193","0,336","3,972","0,724"
"39999,064","0,282","5,253","1,015","4,642"
"39998,913","3,191","0,336","3,969","0,724"
"39998,900","0,276","5,251","1,009","4,638"
"39999,064","3,189","0,336","3,966","0,724"
"39999,165","0,287","5,255","1,020","4,645"
"39998,900","3,182","0,336","3,958","0,723"
"39998,951","0,277","5,251","1,009","4,638"
"39999,165","3,194","0,336","3,974","0,724"
"39998,775","0,271","5,248","1,002","4,636"
"39998,951","3,184","0,336","3,958","0,723"
"39998,878","0,277","5,250","1,010","4,639"
"39998,775","3,178","0,336","3,950","0,723"
"39998,442","0,291","5,258","1,023","4,646"
"39998,878","3,184","0,336","3,959","0,723"
"39999,216","0,290","5,258","1,024","4,647"
"39998,442","3,194","0,336","3,974","0,724"
"39998,911","0,285","5,254","1,018","4,643"
"39999,216","3,197","0,336","3,978","0,725"
"39999,195","0,289","5,256","1,022","4,646"
"39998,911","3,190","0,336","3,969","0,724"
"39999,138","0,282","5,253","1,016","4,642"
"39999,195","3,195","0,336","3,977","0,724"
"39998,896","0,280","5,252","1,011","4,640"
"39999,138","3,189","0,336","3,967","0,724"
"39999,190","0,286","5,254","1,019","4,644"
"39998,896","3,186","0,336","3,961","0,723"
"39999,244","0,290","5,258","1,023","4,646"
"39999,190","3,193","0,336","3,972","0,724"
"39999,339","0,293","5,260","1,027","4,649"
"39999,244","3,196","0,336","3,977","0,724"
"39998,570","0,271","5,249","1,004","4,636"
"39999,339","3,200","0,336","3,983","0,725"
"39999,170","0,288","5,256","1,020","4,644"
"39998,570","3,177","0,336","3,950","0,723"
"39999,090","0,276","5,250","1,009","4,638"
"39999,170","3,194","0,336","3,974","0,724"
"39999,365","0,289","5,257","1,023","4,646"
"39999,090","3,183","0,336","3,958","0,723"
"39998,678","0,266","5,246","0,998","4,634"
"39999,365","3,196","0,336","3,978","0,725"
"39998,630","0,269","5,247","1,001","4,635"
"39998,678","3,173","0,336","3,942","0,722"
"39998,448","0,271","5,248","1,003","4,636"
"39998,630","3,176","0,336","3,948","0,723"
"39998,463","0,286","5,255","1,019","4,643"
"39998,448","3,177","0,336","3,949","0,723"
"39998,993","0,288","5,256","1,021","4,644"
"39998,463","3,190","0,336","3,968","0,724"
"39998,527","0,293","5,259","1,027","4,648"
"39998,993","3,194","0,336","3,975","0,724"
"39999,372","0,284","5,253","1,018","4,643"
"39998,527","3,196","0,336","3,978","0,725"
"39998,067","0,276","5,250","1,008","4,638"
"39999,372","3,191","0,336","3,971","0,724"
"39998,883","0,274","5,250","1,007","4,637"
"39998,067","3,179","0,336","3,953","0,723"
"39999,113","0,275","5,250","1,009","4,638"
"39998,883","3,181","0,336","3,955","0,723"
"39999,099","0,287","5,256","1,021","4,645"
"39999,113","3,182","0,336","3,958","0,723"
"39999,099","3,194","0,337","3,975","0,725"
