Frequency(Hz),Gen(mV),R,L,C,,Frequency(Hz),Gen(mV),R,L,C
"29999,360","3,169","0,564","4,811","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,648","3,173","0,565","4,808","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,345","3,171","0,565","4,809","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,587","3,172","0,565","4,808","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,506","3,169","0,565","4,811","1,796",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,482","3,166","0,564","4,813","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,463","3,172","0,565","4,808","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,540","3,168","0,564","4,813","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,478","3,168","0,564","4,812","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,546","3,171","0,565","4,809","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,374","3,168","0,564","4,812","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,339","3,168","0,564","4,812","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,572","3,170","0,565","4,810","1,796",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,006","3,170","0,565","4,810","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,485","3,173","0,565","4,807","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,473","3,172","0,565","4,807","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,677","3,172","0,565","4,808","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29998,975","3,167","0,564","4,813","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,524","3,171","0,565","4,808","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,482","3,171","0,565","4,809","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,422","3,169","0,564","4,811","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,508","3,173","0,565","4,808","1,798",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29998,820","3,169","0,564","4,811","1,796",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,210","3,171","0,565","4,810","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,493","3,167","0,564","4,813","1,795",,3.00E+04,3.17E-03,5.64E-04,4.81E-03,1.80E-03
"29999,471","3,171","0,565","4,810","1,797",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
"29999,434","3,173","0,565","4,808","1,799",,3.00E+04,3.17E-03,5.65E-04,4.81E-03,1.80E-03
