Frequency,Gen(mV),R,L,C,,Frequency,Gen(V),R,L,C
19749.826,2.439,1.173,6.667,5.884,,1.97E+04,2.44E-03,1.17E-03,6.67E-03,5.88E-03
19749.8,2.439,1.173,6.668,5.884,,1.97E+04,2.44E-03,1.17E-03,6.67E-03,5.88E-03
19799.721,2.44,1.169,6.661,5.849,,1.98E+04,2.44E-03,1.17E-03,6.66E-03,5.85E-03
19799.725,2.439,1.169,6.661,5.849,,1.98E+04,2.44E-03,1.17E-03,6.66E-03,5.85E-03
19849.859,2.44,1.164,6.653,5.813,,1.98E+04,2.44E-03,1.16E-03,6.65E-03,5.81E-03
19899.755,2.44,1.16,6.644,5.776,,1.99E+04,2.44E-03,1.16E-03,6.64E-03,5.78E-03
19899.758,2.44,1.16,6.644,5.776,,1.99E+04,2.44E-03,1.16E-03,6.64E-03,5.78E-03
19949.749,2.441,1.156,6.637,5.742,,1.99E+04,2.44E-03,1.16E-03,6.64E-03,5.74E-03
19949.757,2.441,1.156,6.638,5.743,,1.99E+04,2.44E-03,1.16E-03,6.64E-03,5.74E-03
19999.709,2.441,1.15,6.623,5.7,,2.00E+04,2.44E-03,1.15E-03,6.62E-03,5.70E-03
20049.953,2.442,1.145,6.613,5.664,,2.00E+04,2.44E-03,1.15E-03,6.61E-03,5.66E-03
20049.914,2.442,1.145,6.613,5.665,,2.00E+04,2.44E-03,1.15E-03,6.61E-03,5.67E-03
20099.783,2.442,1.141,6.603,5.629,,2.01E+04,2.44E-03,1.14E-03,6.60E-03,5.63E-03
20099.835,2.442,1.141,6.604,5.63,,2.01E+04,2.44E-03,1.14E-03,6.60E-03,5.63E-03
20149.681,2.443,1.136,6.591,5.591,,2.01E+04,2.44E-03,1.14E-03,6.59E-03,5.59E-03
20199.782,2.443,1.131,6.578,5.553,,2.02E+04,2.44E-03,1.13E-03,6.58E-03,5.55E-03
20199.793,2.443,1.131,6.578,5.553,,2.02E+04,2.44E-03,1.13E-03,6.58E-03,5.55E-03
20249.715,2.444,1.126,6.566,5.515,,2.02E+04,2.44E-03,1.13E-03,6.57E-03,5.52E-03
20249.714,2.444,1.126,6.565,5.515,,2.02E+04,2.44E-03,1.13E-03,6.57E-03,5.52E-03
20299.828,2.444,1.121,6.552,5.478,,2.03E+04,2.44E-03,1.12E-03,6.55E-03,5.48E-03
20349.754,2.445,1.116,6.538,5.439,,2.03E+04,2.45E-03,1.12E-03,6.54E-03,5.44E-03
20349.799,2.444,1.116,6.537,5.439,,2.03E+04,2.44E-03,1.12E-03,6.54E-03,5.44E-03
20399.869,2.445,1.11,6.523,5.401,,2.04E+04,2.45E-03,1.11E-03,6.52E-03,5.40E-03
20449.78,2.446,1.105,6.508,5.363,,2.04E+04,2.45E-03,1.11E-03,6.51E-03,5.36E-03
20449.765,2.446,1.105,6.508,5.363,,2.04E+04,2.45E-03,1.11E-03,6.51E-03,5.36E-03
20499.913,2.446,1.1,6.492,5.324,,2.05E+04,2.45E-03,1.10E-03,6.49E-03,5.32E-03
20499.836,2.446,1.1,6.493,5.325,,2.05E+04,2.45E-03,1.10E-03,6.49E-03,5.33E-03
20549.819,2.447,1.094,6.476,5.286,,2.05E+04,2.45E-03,1.09E-03,6.48E-03,5.29E-03
20599.755,2.447,1.089,6.46,5.248,,2.06E+04,2.45E-03,1.09E-03,6.46E-03,5.25E-03
20599.734,2.447,1.089,6.46,5.249,,2.06E+04,2.45E-03,1.09E-03,6.46E-03,5.25E-03
20649.802,2.448,1.083,6.443,5.21,,2.06E+04,2.45E-03,1.08E-03,6.44E-03,5.21E-03
20649.82,2.447,1.083,6.443,5.21,,2.06E+04,2.45E-03,1.08E-03,6.44E-03,5.21E-03
20699.756,2.448,1.078,6.426,5.172,,2.07E+04,2.45E-03,1.08E-03,6.43E-03,5.17E-03
20749.805,2.449,1.072,6.408,5.133,,2.07E+04,2.45E-03,1.07E-03,6.41E-03,5.13E-03
20749.808,2.449,1.073,6.409,5.134,,2.07E+04,2.45E-03,1.07E-03,6.41E-03,5.13E-03
20799.734,2.449,1.067,6.391,5.096,,2.08E+04,2.45E-03,1.07E-03,6.39E-03,5.10E-03
20799.78,2.449,1.067,6.391,5.096,,2.08E+04,2.45E-03,1.07E-03,6.39E-03,5.10E-03
20849.883,2.449,1.061,6.373,5.057,,2.08E+04,2.45E-03,1.06E-03,6.37E-03,5.06E-03
20899.762,2.45,1.056,6.354,5.019,,2.09E+04,2.45E-03,1.06E-03,6.35E-03,5.02E-03
20899.81,2.45,1.056,6.355,5.019,,2.09E+04,2.45E-03,1.06E-03,6.36E-03,5.02E-03
20949.695,2.451,1.05,6.336,4.981,,2.09E+04,2.45E-03,1.05E-03,6.34E-03,4.98E-03
20999.82,2.451,1.045,6.317,4.943,,2.10E+04,2.45E-03,1.05E-03,6.32E-03,4.94E-03
20999.807,2.451,1.045,6.317,4.944,,2.10E+04,2.45E-03,1.05E-03,6.32E-03,4.94E-03
21049.723,2.452,1.039,6.298,4.905,,2.10E+04,2.45E-03,1.04E-03,6.30E-03,4.91E-03
21049.733,2.452,1.039,6.298,4.906,,2.10E+04,2.45E-03,1.04E-03,6.30E-03,4.91E-03
21099.851,2.452,1.033,6.278,4.868,,2.11E+04,2.45E-03,1.03E-03,6.28E-03,4.87E-03
21149.747,2.452,1.028,6.259,4.83,,2.11E+04,2.45E-03,1.03E-03,6.26E-03,4.83E-03
21149.752,2.453,1.028,6.259,4.831,,2.11E+04,2.45E-03,1.03E-03,6.26E-03,4.83E-03
21199.807,2.453,1.022,6.239,4.793,,2.12E+04,2.45E-03,1.02E-03,6.24E-03,4.79E-03
21199.903,2.453,1.022,6.239,4.793,,2.12E+04,2.45E-03,1.02E-03,6.24E-03,4.79E-03
21249.793,2.454,1.016,6.219,4.755,,2.12E+04,2.45E-03,1.02E-03,6.22E-03,4.76E-03
21299.852,2.454,1.01,6.198,4.718,,2.13E+04,2.45E-03,1.01E-03,6.20E-03,4.72E-03
21299.885,2.454,1.01,6.199,4.719,,2.13E+04,2.45E-03,1.01E-03,6.20E-03,4.72E-03
21349.818,2.454,1.005,6.178,4.681,,2.13E+04,2.45E-03,1.01E-03,6.18E-03,4.68E-03
21349.843,2.454,1.005,6.179,4.682,,2.13E+04,2.45E-03,1.01E-03,6.18E-03,4.68E-03
21399.728,2.455,0.999,6.158,4.645,,2.14E+04,2.46E-03,9.99E-04,6.16E-03,4.65E-03
21449.766,2.455,0.994,6.138,4.608,,2.14E+04,2.46E-03,9.94E-04,6.14E-03,4.61E-03
21449.771,2.455,0.994,6.138,4.609,,2.14E+04,2.46E-03,9.94E-04,6.14E-03,4.61E-03
21499.726,2.456,0.988,6.117,4.572,,2.15E+04,2.46E-03,9.88E-04,6.12E-03,4.57E-03
21546.533,2.457,0.983,6.1,4.54,,2.15E+04,2.46E-03,9.83E-04,6.10E-03,4.54E-03
21549.856,2.456,0.983,6.098,4.537,,2.15E+04,2.46E-03,9.83E-04,6.10E-03,4.54E-03
21599.751,2.457,0.977,6.077,4.501,,2.16E+04,2.46E-03,9.77E-04,6.08E-03,4.50E-03
21599.759,2.457,0.977,6.077,4.502,,2.16E+04,2.46E-03,9.77E-04,6.08E-03,4.50E-03
21649.882,2.457,0.971,6.055,4.465,,2.16E+04,2.46E-03,9.71E-04,6.06E-03,4.47E-03
21699.842,2.457,0.966,6.035,4.43,,2.17E+04,2.46E-03,9.66E-04,6.04E-03,4.43E-03
21699.824,2.458,0.966,6.036,4.431,,2.17E+04,2.46E-03,9.66E-04,6.04E-03,4.43E-03
21749.691,2.458,0.96,6.014,4.395,,2.17E+04,2.46E-03,9.60E-04,6.01E-03,4.40E-03
21749.713,2.458,0.96,6.015,4.396,,2.17E+04,2.46E-03,9.60E-04,6.02E-03,4.40E-03
21799.785,2.458,0.955,5.993,4.36,,2.18E+04,2.46E-03,9.55E-04,5.99E-03,4.36E-03
21849.697,2.459,0.949,5.972,4.325,,2.18E+04,2.46E-03,9.49E-04,5.97E-03,4.33E-03
21849.742,2.459,0.949,5.973,4.326,,2.18E+04,2.46E-03,9.49E-04,5.97E-03,4.33E-03
21899.852,2.459,0.943,5.951,4.291,,2.19E+04,2.46E-03,9.43E-04,5.95E-03,4.29E-03
21899.834,2.459,0.944,5.952,4.292,,2.19E+04,2.46E-03,9.44E-04,5.95E-03,4.29E-03
21949.759,2.46,0.938,5.931,4.257,,2.19E+04,2.46E-03,9.38E-04,5.93E-03,4.26E-03
21999.876,2.46,0.933,5.909,4.223,,2.20E+04,2.46E-03,9.33E-04,5.91E-03,4.22E-03
21999.862,2.46,0.933,5.91,4.224,,2.20E+04,2.46E-03,9.33E-04,5.91E-03,4.22E-03
22049.779,2.46,0.927,5.889,4.189,,2.20E+04,2.46E-03,9.27E-04,5.89E-03,4.19E-03
22099.685,2.461,0.922,5.868,4.156,,2.21E+04,2.46E-03,9.22E-04,5.87E-03,4.16E-03
22099.699,2.461,0.922,5.868,4.157,,2.21E+04,2.46E-03,9.22E-04,5.87E-03,4.16E-03
22149.773,2.461,0.916,5.847,4.123,,2.21E+04,2.46E-03,9.16E-04,5.85E-03,4.12E-03
22149.799,2.461,0.916,5.847,4.124,,2.21E+04,2.46E-03,9.16E-04,5.85E-03,4.12E-03
22199.664,2.462,0.911,5.826,4.09,,2.22E+04,2.46E-03,9.11E-04,5.83E-03,4.09E-03
22249.827,2.462,0.906,5.806,4.058,,2.22E+04,2.46E-03,9.06E-04,5.81E-03,4.06E-03
22249.81,2.462,0.906,5.806,4.058,,2.22E+04,2.46E-03,9.06E-04,5.81E-03,4.06E-03
22299.673,2.463,0.901,5.785,4.025,,2.23E+04,2.46E-03,9.01E-04,5.79E-03,4.03E-03
22299.728,2.462,0.901,5.785,4.026,,2.23E+04,2.46E-03,9.01E-04,5.79E-03,4.03E-03
22349.85,2.463,0.895,5.764,3.993,,2.23E+04,2.46E-03,8.95E-04,5.76E-03,3.99E-03
22399.751,2.463,0.89,5.743,3.961,,2.24E+04,2.46E-03,8.90E-04,5.74E-03,3.96E-03
22399.758,2.463,0.89,5.743,3.962,,2.24E+04,2.46E-03,8.90E-04,5.74E-03,3.96E-03
22449.888,2.464,0.885,5.723,3.93,,2.24E+04,2.46E-03,8.85E-04,5.72E-03,3.93E-03
22449.837,2.464,0.885,5.722,3.93,,2.24E+04,2.46E-03,8.85E-04,5.72E-03,3.93E-03
22499.79,2.464,0.88,5.702,3.898,,2.25E+04,2.46E-03,8.80E-04,5.70E-03,3.90E-03
22549.687,2.464,0.875,5.681,3.867,,2.25E+04,2.46E-03,8.75E-04,5.68E-03,3.87E-03
22549.696,2.464,0.875,5.682,3.868,,2.25E+04,2.46E-03,8.75E-04,5.68E-03,3.87E-03
22599.767,2.465,0.87,5.661,3.837,,2.26E+04,2.47E-03,8.70E-04,5.66E-03,3.84E-03
22599.803,2.465,0.87,5.661,3.837,,2.26E+04,2.47E-03,8.70E-04,5.66E-03,3.84E-03
22649.792,2.465,0.865,5.641,3.807,,2.26E+04,2.47E-03,8.65E-04,5.64E-03,3.81E-03
22699.835,2.465,0.859,5.62,3.776,,2.27E+04,2.47E-03,8.59E-04,5.62E-03,3.78E-03
22699.879,2.465,0.859,5.621,3.776,,2.27E+04,2.47E-03,8.59E-04,5.62E-03,3.78E-03
22749.756,2.466,0.855,5.6,3.746,,2.27E+04,2.47E-03,8.55E-04,5.60E-03,3.75E-03
22799.821,2.466,0.85,5.58,3.716,,2.28E+04,2.47E-03,8.50E-04,5.58E-03,3.72E-03
22799.913,2.466,0.85,5.58,3.717,,2.28E+04,2.47E-03,8.50E-04,5.58E-03,3.72E-03
22849.758,2.466,0.845,5.56,3.687,,2.28E+04,2.47E-03,8.45E-04,5.56E-03,3.69E-03
22849.816,2.466,0.845,5.56,3.688,,2.28E+04,2.47E-03,8.45E-04,5.56E-03,3.69E-03
22899.671,2.467,0.84,5.54,3.658,,2.29E+04,2.47E-03,8.40E-04,5.54E-03,3.66E-03
22949.818,2.467,0.835,5.52,3.629,,2.29E+04,2.47E-03,8.35E-04,5.52E-03,3.63E-03
22949.781,2.467,0.835,5.52,3.63,,2.29E+04,2.47E-03,8.35E-04,5.52E-03,3.63E-03
22999.724,2.467,0.83,5.5,3.601,,2.30E+04,2.47E-03,8.30E-04,5.50E-03,3.60E-03
22999.725,2.468,0.83,5.501,3.601,,2.30E+04,2.47E-03,8.30E-04,5.50E-03,3.60E-03
23049.816,2.468,0.825,5.481,3.573,,2.30E+04,2.47E-03,8.25E-04,5.48E-03,3.57E-03
23099.728,2.468,0.821,5.461,3.545,,2.31E+04,2.47E-03,8.21E-04,5.46E-03,3.55E-03
23099.694,2.468,0.821,5.462,3.545,,2.31E+04,2.47E-03,8.21E-04,5.46E-03,3.55E-03
23149.832,2.468,0.816,5.442,3.517,,2.31E+04,2.47E-03,8.16E-04,5.44E-03,3.52E-03
23149.867,2.468,0.816,5.442,3.517,,2.31E+04,2.47E-03,8.16E-04,5.44E-03,3.52E-03
23199.789,2.469,0.811,5.423,3.49,,2.32E+04,2.47E-03,8.11E-04,5.42E-03,3.49E-03
23249.712,2.468,0.807,5.404,3.462,,2.32E+04,2.47E-03,8.07E-04,5.40E-03,3.46E-03
23249.7,2.469,0.807,5.404,3.463,,2.32E+04,2.47E-03,8.07E-04,5.40E-03,3.46E-03
23299.765,2.469,0.802,5.384,3.435,,2.33E+04,2.47E-03,8.02E-04,5.38E-03,3.44E-03
23349.703,2.47,0.798,5.366,3.409,,2.33E+04,2.47E-03,7.98E-04,5.37E-03,3.41E-03
23349.705,2.47,0.798,5.366,3.409,,2.33E+04,2.47E-03,7.98E-04,5.37E-03,3.41E-03
23399.758,2.47,0.793,5.347,3.382,,2.34E+04,2.47E-03,7.93E-04,5.35E-03,3.38E-03
23399.807,2.47,0.793,5.347,3.383,,2.34E+04,2.47E-03,7.93E-04,5.35E-03,3.38E-03
23449.728,2.47,0.789,5.329,3.357,,2.34E+04,2.47E-03,7.89E-04,5.33E-03,3.36E-03
23499.854,2.47,0.784,5.31,3.33,,2.35E+04,2.47E-03,7.84E-04,5.31E-03,3.33E-03
23499.814,2.47,0.784,5.31,3.331,,2.35E+04,2.47E-03,7.84E-04,5.31E-03,3.33E-03
23549.759,2.471,0.78,5.292,3.305,,2.35E+04,2.47E-03,7.80E-04,5.29E-03,3.31E-03
23549.722,2.471,0.78,5.292,3.305,,2.35E+04,2.47E-03,7.80E-04,5.29E-03,3.31E-03
23599.878,2.471,0.775,5.273,3.28,,2.36E+04,2.47E-03,7.75E-04,5.27E-03,3.28E-03
23649.803,2.471,0.771,5.255,3.254,,2.36E+04,2.47E-03,7.71E-04,5.26E-03,3.25E-03
23649.764,2.471,0.771,5.255,3.255,,2.36E+04,2.47E-03,7.71E-04,5.26E-03,3.26E-03
23699.67,2.471,0.767,5.237,3.229,,2.37E+04,2.47E-03,7.67E-04,5.24E-03,3.23E-03
23699.701,2.471,0.767,5.237,3.23,,2.37E+04,2.47E-03,7.67E-04,5.24E-03,3.23E-03
23749.776,2.472,0.762,5.219,3.205,,2.37E+04,2.47E-03,7.62E-04,5.22E-03,3.21E-03
23799.712,2.472,0.758,5.201,3.18,,2.38E+04,2.47E-03,7.58E-04,5.20E-03,3.18E-03
23799.742,2.472,0.758,5.202,3.181,,2.38E+04,2.47E-03,7.58E-04,5.20E-03,3.18E-03
23849.782,2.472,0.754,5.183,3.156,,2.38E+04,2.47E-03,7.54E-04,5.18E-03,3.16E-03
23849.795,2.472,0.754,5.183,3.156,,2.38E+04,2.47E-03,7.54E-04,5.18E-03,3.16E-03
23899.739,2.473,0.75,5.166,3.132,,2.39E+04,2.47E-03,7.50E-04,5.17E-03,3.13E-03
23949.838,2.473,0.746,5.148,3.108,,2.39E+04,2.47E-03,7.46E-04,5.15E-03,3.11E-03
23949.827,2.473,0.746,5.148,3.108,,2.39E+04,2.47E-03,7.46E-04,5.15E-03,3.11E-03
23999.789,2.473,0.742,5.131,3.084,,2.40E+04,2.47E-03,7.42E-04,5.13E-03,3.08E-03
24049.737,2.473,0.738,5.113,3.061,,2.40E+04,2.47E-03,7.38E-04,5.11E-03,3.06E-03
24049.666,2.473,0.738,5.114,3.062,,2.40E+04,2.47E-03,7.38E-04,5.11E-03,3.06E-03
24099.71,2.473,0.734,5.096,3.038,,2.41E+04,2.47E-03,7.34E-04,5.10E-03,3.04E-03
24099.774,2.474,0.734,5.096,3.039,,2.41E+04,2.47E-03,7.34E-04,5.10E-03,3.04E-03
24149.765,2.474,0.73,5.079,3.015,,2.41E+04,2.47E-03,7.30E-04,5.08E-03,3.02E-03
24199.8,2.474,0.725,5.062,2.993,,2.42E+04,2.47E-03,7.25E-04,5.06E-03,2.99E-03
24199.812,2.474,0.726,5.062,2.993,,2.42E+04,2.47E-03,7.26E-04,5.06E-03,2.99E-03
24249.745,2.474,0.722,5.046,2.97,,2.42E+04,2.47E-03,7.22E-04,5.05E-03,2.97E-03
24249.757,2.474,0.722,5.046,2.971,,2.42E+04,2.47E-03,7.22E-04,5.05E-03,2.97E-03
24299.891,2.474,0.718,5.029,2.948,,2.43E+04,2.47E-03,7.18E-04,5.03E-03,2.95E-03
24349.751,2.474,0.714,5.012,2.926,,2.43E+04,2.47E-03,7.14E-04,5.01E-03,2.93E-03
24349.758,2.475,0.714,5.013,2.927,,2.43E+04,2.48E-03,7.14E-04,5.01E-03,2.93E-03
24399.86,2.474,0.71,4.996,2.905,,2.44E+04,2.47E-03,7.10E-04,5.00E-03,2.91E-03
24399.886,2.475,0.71,4.997,2.905,,2.44E+04,2.48E-03,7.10E-04,5.00E-03,2.91E-03
24449.82,2.475,0.706,4.98,2.883,,2.44E+04,2.48E-03,7.06E-04,4.98E-03,2.88E-03
24499.57,2.475,0.703,4.964,2.862,,2.45E+04,2.48E-03,7.03E-04,4.96E-03,2.86E-03
24499.908,2.475,0.703,4.964,2.863,,2.45E+04,2.48E-03,7.03E-04,4.96E-03,2.86E-03
24549.786,2.475,0.699,4.948,2.841,,2.45E+04,2.48E-03,6.99E-04,4.95E-03,2.84E-03
24549.775,2.476,0.699,4.948,2.841,,2.45E+04,2.48E-03,6.99E-04,4.95E-03,2.84E-03
24599.689,2.476,0.695,4.932,2.82,,2.46E+04,2.48E-03,6.95E-04,4.93E-03,2.82E-03
24649.797,2.476,0.692,4.916,2.8,,2.46E+04,2.48E-03,6.92E-04,4.92E-03,2.80E-03
24649.76,2.476,0.692,4.917,2.8,,2.46E+04,2.48E-03,6.92E-04,4.92E-03,2.80E-03
24699.704,2.476,0.688,4.901,2.779,,2.47E+04,2.48E-03,6.88E-04,4.90E-03,2.78E-03
24749.836,2.476,0.685,4.886,2.759,,2.47E+04,2.48E-03,6.85E-04,4.89E-03,2.76E-03
24749.84,2.476,0.684,4.886,2.76,,2.47E+04,2.48E-03,6.84E-04,4.89E-03,2.76E-03
24799.722,2.476,0.681,4.87,2.739,,2.48E+04,2.48E-03,6.81E-04,4.87E-03,2.74E-03
24799.79,2.476,0.681,4.871,2.74,,2.48E+04,2.48E-03,6.81E-04,4.87E-03,2.74E-03
24849.696,2.477,0.677,4.855,2.72,,2.48E+04,2.48E-03,6.77E-04,4.86E-03,2.72E-03
24899.731,2.477,0.674,4.84,2.7,,2.49E+04,2.48E-03,6.74E-04,4.84E-03,2.70E-03
24899.737,2.477,0.674,4.84,2.701,,2.49E+04,2.48E-03,6.74E-04,4.84E-03,2.70E-03
24949.633,2.477,0.67,4.824,2.68,,2.49E+04,2.48E-03,6.70E-04,4.82E-03,2.68E-03
24949.683,2.477,0.67,4.824,2.68,,2.49E+04,2.48E-03,6.70E-04,4.82E-03,2.68E-03
24999.755,2.477,0.667,4.809,2.661,,2.50E+04,2.48E-03,6.67E-04,4.81E-03,2.66E-03
25049.778,2.477,0.664,4.796,2.643,,2.50E+04,2.48E-03,6.64E-04,4.80E-03,2.64E-03
25049.746,2.477,0.664,4.796,2.643,,2.50E+04,2.48E-03,6.64E-04,4.80E-03,2.64E-03
25099.857,2.478,0.66,4.781,2.623,,2.51E+04,2.48E-03,6.60E-04,4.78E-03,2.62E-03
25149.718,2.478,0.657,4.766,2.605,,2.51E+04,2.48E-03,6.57E-04,4.77E-03,2.61E-03
25149.737,2.478,0.657,4.766,2.605,,2.51E+04,2.48E-03,6.57E-04,4.77E-03,2.61E-03
25199.621,2.478,0.654,4.752,2.586,,2.52E+04,2.48E-03,6.54E-04,4.75E-03,2.59E-03
25199.635,2.478,0.653,4.752,2.587,,2.52E+04,2.48E-03,6.53E-04,4.75E-03,2.59E-03
25249.802,2.478,0.65,4.737,2.568,,2.52E+04,2.48E-03,6.50E-04,4.74E-03,2.57E-03
25299.685,2.478,0.647,4.723,2.55,,2.53E+04,2.48E-03,6.47E-04,4.72E-03,2.55E-03
25299.695,2.478,0.647,4.723,2.55,,2.53E+04,2.48E-03,6.47E-04,4.72E-03,2.55E-03
25349.835,2.478,0.644,4.709,2.532,,2.53E+04,2.48E-03,6.44E-04,4.71E-03,2.53E-03
25349.817,2.479,0.644,4.709,2.533,,2.53E+04,2.48E-03,6.44E-04,4.71E-03,2.53E-03
25399.745,2.478,0.64,4.695,2.515,,2.54E+04,2.48E-03,6.40E-04,4.70E-03,2.52E-03
25449.801,2.479,0.637,4.681,2.497,,2.54E+04,2.48E-03,6.37E-04,4.68E-03,2.50E-03
25449.824,2.479,0.637,4.682,2.497,,2.54E+04,2.48E-03,6.37E-04,4.68E-03,2.50E-03
25499.738,2.479,0.634,4.668,2.48,,2.55E+04,2.48E-03,6.34E-04,4.67E-03,2.48E-03
25499.734,2.479,0.634,4.668,2.48,,2.55E+04,2.48E-03,6.34E-04,4.67E-03,2.48E-03
25549.796,2.479,0.631,4.654,2.462,,2.55E+04,2.48E-03,6.31E-04,4.65E-03,2.46E-03
25599.791,2.479,0.628,4.641,2.445,,2.56E+04,2.48E-03,6.28E-04,4.64E-03,2.45E-03
25599.753,2.479,0.628,4.641,2.446,,2.56E+04,2.48E-03,6.28E-04,4.64E-03,2.45E-03
25649.717,2.479,0.625,4.628,2.429,,2.56E+04,2.48E-03,6.25E-04,4.63E-03,2.43E-03
25699.794,2.479,0.622,4.614,2.412,,2.57E+04,2.48E-03,6.22E-04,4.61E-03,2.41E-03
25699.786,2.48,0.622,4.614,2.412,,2.57E+04,2.48E-03,6.22E-04,4.61E-03,2.41E-03
25749.743,2.48,0.619,4.601,2.395,,2.57E+04,2.48E-03,6.19E-04,4.60E-03,2.40E-03
25749.698,2.479,0.619,4.601,2.396,,2.57E+04,2.48E-03,6.19E-04,4.60E-03,2.40E-03
25799.867,2.48,0.616,4.588,2.379,,2.58E+04,2.48E-03,6.16E-04,4.59E-03,2.38E-03
25849.744,2.48,0.613,4.575,2.363,,2.58E+04,2.48E-03,6.13E-04,4.58E-03,2.36E-03
25849.718,2.48,0.613,4.575,2.363,,2.58E+04,2.48E-03,6.13E-04,4.58E-03,2.36E-03
25899.803,2.48,0.61,4.562,2.347,,2.59E+04,2.48E-03,6.10E-04,4.56E-03,2.35E-03
25899.807,2.48,0.61,4.563,2.347,,2.59E+04,2.48E-03,6.10E-04,4.56E-03,2.35E-03
25949.743,2.48,0.607,4.55,2.331,,2.59E+04,2.48E-03,6.07E-04,4.55E-03,2.33E-03
25999.696,2.48,0.604,4.537,2.315,,2.60E+04,2.48E-03,6.04E-04,4.54E-03,2.32E-03
25999.716,2.48,0.604,4.537,2.316,,2.60E+04,2.48E-03,6.04E-04,4.54E-03,2.32E-03
26049.714,2.48,0.601,4.524,2.3,,2.60E+04,2.48E-03,6.01E-04,4.52E-03,2.30E-03
26049.736,2.481,0.601,4.525,2.3,,2.60E+04,2.48E-03,6.01E-04,4.53E-03,2.30E-03
26099.731,2.481,0.599,4.512,2.285,,2.61E+04,2.48E-03,5.99E-04,4.51E-03,2.29E-03
26149.827,2.481,0.596,4.5,2.269,,2.61E+04,2.48E-03,5.96E-04,4.50E-03,2.27E-03
26149.852,2.481,0.596,4.5,2.269,,2.61E+04,2.48E-03,5.96E-04,4.50E-03,2.27E-03
26199.66,2.481,0.593,4.488,2.254,,2.62E+04,2.48E-03,5.93E-04,4.49E-03,2.25E-03
26249.795,2.481,0.59,4.475,2.239,,2.62E+04,2.48E-03,5.90E-04,4.48E-03,2.24E-03
26249.803,2.481,0.59,4.476,2.239,,2.62E+04,2.48E-03,5.90E-04,4.48E-03,2.24E-03
26299.736,2.481,0.588,4.464,2.224,,2.63E+04,2.48E-03,5.88E-04,4.46E-03,2.22E-03
26299.703,2.481,0.588,4.464,2.224,,2.63E+04,2.48E-03,5.88E-04,4.46E-03,2.22E-03
26349.653,2.481,0.585,4.452,2.21,,2.63E+04,2.48E-03,5.85E-04,4.45E-03,2.21E-03
26399.745,2.481,0.582,4.44,2.195,,2.64E+04,2.48E-03,5.82E-04,4.44E-03,2.20E-03
26399.704,2.481,0.582,4.44,2.195,,2.64E+04,2.48E-03,5.82E-04,4.44E-03,2.20E-03
26449.606,2.481,0.579,4.428,2.18,,2.64E+04,2.48E-03,5.79E-04,4.43E-03,2.18E-03
26449.637,2.482,0.579,4.429,2.181,,2.64E+04,2.48E-03,5.79E-04,4.43E-03,2.18E-03
26499.74,2.481,0.577,4.417,2.166,,2.65E+04,2.48E-03,5.77E-04,4.42E-03,2.17E-03
26549.68,2.482,0.574,4.405,2.152,,2.65E+04,2.48E-03,5.74E-04,4.41E-03,2.15E-03
26549.707,2.482,0.574,4.406,2.152,,2.65E+04,2.48E-03,5.74E-04,4.41E-03,2.15E-03
26599.859,2.482,0.572,4.394,2.138,,2.66E+04,2.48E-03,5.72E-04,4.39E-03,2.14E-03
26599.83,2.482,0.572,4.394,2.138,,2.66E+04,2.48E-03,5.72E-04,4.39E-03,2.14E-03
26649.695,2.482,0.569,4.383,2.124,,2.66E+04,2.48E-03,5.69E-04,4.38E-03,2.12E-03
26699.827,2.482,0.566,4.371,2.11,,2.67E+04,2.48E-03,5.66E-04,4.37E-03,2.11E-03
26699.833,2.482,0.567,4.372,2.11,,2.67E+04,2.48E-03,5.67E-04,4.37E-03,2.11E-03
26749.763,2.482,0.564,4.36,2.097,,2.67E+04,2.48E-03,5.64E-04,4.36E-03,2.10E-03
26799.64,2.483,0.561,4.35,2.083,,2.68E+04,2.48E-03,5.61E-04,4.35E-03,2.08E-03
26799.664,2.482,0.561,4.349,2.083,,2.68E+04,2.48E-03,5.61E-04,4.35E-03,2.08E-03
26849.741,2.482,0.559,4.338,2.07,,2.68E+04,2.48E-03,5.59E-04,4.34E-03,2.07E-03
26849.783,2.483,0.559,4.338,2.07,,2.68E+04,2.48E-03,5.59E-04,4.34E-03,2.07E-03
26899.711,2.482,0.556,4.328,2.057,,2.69E+04,2.48E-03,5.56E-04,4.33E-03,2.06E-03
26949.766,2.483,0.554,4.317,2.043,,2.69E+04,2.48E-03,5.54E-04,4.32E-03,2.04E-03
26949.812,2.483,0.554,4.317,2.044,,2.69E+04,2.48E-03,5.54E-04,4.32E-03,2.04E-03
26999.688,2.483,0.552,4.306,2.03,,2.70E+04,2.48E-03,5.52E-04,4.31E-03,2.03E-03
26999.694,2.483,0.551,4.306,2.03,,2.70E+04,2.48E-03,5.51E-04,4.31E-03,2.03E-03
27049.78,2.483,0.549,4.296,2.018,,2.70E+04,2.48E-03,5.49E-04,4.30E-03,2.02E-03
27099.689,2.483,0.547,4.285,2.005,,2.71E+04,2.48E-03,5.47E-04,4.29E-03,2.01E-03
27099.708,2.483,0.547,4.285,2.005,,2.71E+04,2.48E-03,5.47E-04,4.29E-03,2.01E-03
27149.605,2.483,0.544,4.275,1.992,,2.71E+04,2.48E-03,5.44E-04,4.28E-03,1.99E-03
